Report Year,Geography,Notice of Adverse Benefit Determination Category,Appeal Count,Unresolved as of June 30,Decision Upheld,Decision Overturned
FY2021,State,Denial Notice,35,3,19,13
FY2021,State,Payment Denial Notice,912,4,517,391
FY2021,State,Delivery System Notice,20,1,10,9
FY2021,State,Modification Notice,3,0,1,2
FY2021,State,Termination Notice,101,7,30,64
FY2021,State,Authorization Delay Notice,0,0,0,0
FY2021,State,Timely Access Notice,2,0,1,1
FY2021,State,Financial Liability Notice,1,0,1,0
FY2021,State,Grievance and Appeal Timely Resolution Notice,1,0,1,0
FY2021,State,All,1075,15,580,480
FY2021,Alameda,Denial Notice,2,0,0,2
FY2021,Alameda,Payment Denial Notice,0,0,0,0
FY2021,Alameda,Delivery System Notice,0,0,0,0
FY2021,Alameda,Modification Notice,0,0,0,0
FY2021,Alameda,Termination Notice,3,0,3,0
FY2021,Alameda,Authorization Delay Notice,0,0,0,0
FY2021,Alameda,Timely Access Notice,0,0,0,0
FY2021,Alameda,Financial Liability Notice,0,0,0,0
FY2021,Alameda,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Alameda,All,5,0,3,2
FY2021,Alpine,Denial Notice,0,0,0,0
FY2021,Alpine,Payment Denial Notice,0,0,0,0
FY2021,Alpine,Delivery System Notice,0,0,0,0
FY2021,Alpine,Modification Notice,0,0,0,0
FY2021,Alpine,Termination Notice,0,0,0,0
FY2021,Alpine,Authorization Delay Notice,0,0,0,0
FY2021,Alpine,Timely Access Notice,0,0,0,0
FY2021,Alpine,Financial Liability Notice,0,0,0,0
FY2021,Alpine,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Alpine,All,0,0,0,0
FY2021,Amador,Denial Notice,0,0,0,0
FY2021,Amador,Payment Denial Notice,0,0,0,0
FY2021,Amador,Delivery System Notice,0,0,0,0
FY2021,Amador,Modification Notice,0,0,0,0
FY2021,Amador,Termination Notice,0,0,0,0
FY2021,Amador,Authorization Delay Notice,0,0,0,0
FY2021,Amador,Timely Access Notice,0,0,0,0
FY2021,Amador,Financial Liability Notice,0,0,0,0
FY2021,Amador,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Amador,All,0,0,0,0
FY2021,Butte,Denial Notice,0,0,0,0
FY2021,Butte,Payment Denial Notice,0,0,0,0
FY2021,Butte,Delivery System Notice,0,0,0,0
FY2021,Butte,Modification Notice,0,0,0,0
FY2021,Butte,Termination Notice,0,0,0,0
FY2021,Butte,Authorization Delay Notice,0,0,0,0
FY2021,Butte,Timely Access Notice,0,0,0,0
FY2021,Butte,Financial Liability Notice,0,0,0,0
FY2021,Butte,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Butte,All,0,0,0,0
FY2021,Calaveras,Denial Notice,0,0,0,0
FY2021,Calaveras,Payment Denial Notice,0,0,0,0
FY2021,Calaveras,Delivery System Notice,0,0,0,0
FY2021,Calaveras,Modification Notice,0,0,0,0
FY2021,Calaveras,Termination Notice,0,0,0,0
FY2021,Calaveras,Authorization Delay Notice,0,0,0,0
FY2021,Calaveras,Timely Access Notice,0,0,0,0
FY2021,Calaveras,Financial Liability Notice,0,0,0,0
FY2021,Calaveras,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Calaveras,All,0,0,0,0
FY2021,Colusa,Denial Notice,0,0,0,0
FY2021,Colusa,Payment Denial Notice,0,0,0,0
FY2021,Colusa,Delivery System Notice,0,0,0,0
FY2021,Colusa,Modification Notice,0,0,0,0
FY2021,Colusa,Termination Notice,0,0,0,0
FY2021,Colusa,Authorization Delay Notice,0,0,0,0
FY2021,Colusa,Timely Access Notice,0,0,0,0
FY2021,Colusa,Financial Liability Notice,0,0,0,0
FY2021,Colusa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Colusa,All,0,0,0,0
FY2021,Contra Costa,Denial Notice,0,0,0,0
FY2021,Contra Costa,Payment Denial Notice,0,0,0,0
FY2021,Contra Costa,Delivery System Notice,0,0,0,0
FY2021,Contra Costa,Modification Notice,0,0,0,0
FY2021,Contra Costa,Termination Notice,0,0,0,0
FY2021,Contra Costa,Authorization Delay Notice,0,0,0,0
FY2021,Contra Costa,Timely Access Notice,0,0,0,0
FY2021,Contra Costa,Financial Liability Notice,0,0,0,0
FY2021,Contra Costa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Contra Costa,All,0,0,0,0
FY2021,Del Norte,Denial Notice,1,0,1,0
FY2021,Del Norte,Payment Denial Notice,0,0,0,0
FY2021,Del Norte,Delivery System Notice,0,0,0,0
FY2021,Del Norte,Modification Notice,0,0,0,0
FY2021,Del Norte,Termination Notice,0,0,0,0
FY2021,Del Norte,Authorization Delay Notice,0,0,0,0
FY2021,Del Norte,Timely Access Notice,0,0,0,0
FY2021,Del Norte,Financial Liability Notice,0,0,0,0
FY2021,Del Norte,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Del Norte,All,1,0,1,0
FY2021,El Dorado,Denial Notice,0,0,0,0
FY2021,El Dorado,Payment Denial Notice,0,0,0,0
FY2021,El Dorado,Delivery System Notice,0,0,0,0
FY2021,El Dorado,Modification Notice,0,0,0,0
FY2021,El Dorado,Termination Notice,0,0,0,0
FY2021,El Dorado,Authorization Delay Notice,0,0,0,0
FY2021,El Dorado,Timely Access Notice,0,0,0,0
FY2021,El Dorado,Financial Liability Notice,0,0,0,0
FY2021,El Dorado,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,El Dorado,All,0,0,0,0
FY2021,Fresno,Denial Notice,0,0,0,0
FY2021,Fresno,Payment Denial Notice,0,0,0,0
FY2021,Fresno,Delivery System Notice,0,0,0,0
FY2021,Fresno,Modification Notice,0,0,0,0
FY2021,Fresno,Termination Notice,0,0,0,0
FY2021,Fresno,Authorization Delay Notice,0,0,0,0
FY2021,Fresno,Timely Access Notice,0,0,0,0
FY2021,Fresno,Financial Liability Notice,0,0,0,0
FY2021,Fresno,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Fresno,All,0,0,0,0
FY2021,Glenn,Denial Notice,0,0,0,0
FY2021,Glenn,Payment Denial Notice,0,0,0,0
FY2021,Glenn,Delivery System Notice,0,0,0,0
FY2021,Glenn,Modification Notice,0,0,0,0
FY2021,Glenn,Termination Notice,0,0,0,0
FY2021,Glenn,Authorization Delay Notice,0,0,0,0
FY2021,Glenn,Timely Access Notice,0,0,0,0
FY2021,Glenn,Financial Liability Notice,0,0,0,0
FY2021,Glenn,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Glenn,All,0,0,0,0
FY2021,Humboldt,Denial Notice,0,0,0,0
FY2021,Humboldt,Payment Denial Notice,0,0,0,0
FY2021,Humboldt,Delivery System Notice,0,0,0,0
FY2021,Humboldt,Modification Notice,0,0,0,0
FY2021,Humboldt,Termination Notice,1,0,1,0
FY2021,Humboldt,Authorization Delay Notice,0,0,0,0
FY2021,Humboldt,Timely Access Notice,0,0,0,0
FY2021,Humboldt,Financial Liability Notice,0,0,0,0
FY2021,Humboldt,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Humboldt,All,1,0,1,0
FY2021,Imperial,Denial Notice,0,0,0,0
FY2021,Imperial,Payment Denial Notice,0,0,0,0
FY2021,Imperial,Delivery System Notice,0,0,0,0
FY2021,Imperial,Modification Notice,0,0,0,0
FY2021,Imperial,Termination Notice,30,0,1,29
FY2021,Imperial,Authorization Delay Notice,0,0,0,0
FY2021,Imperial,Timely Access Notice,0,0,0,0
FY2021,Imperial,Financial Liability Notice,0,0,0,0
FY2021,Imperial,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Imperial,All,30,0,1,29
FY2021,Inyo,Denial Notice,0,0,0,0
FY2021,Inyo,Payment Denial Notice,0,0,0,0
FY2021,Inyo,Delivery System Notice,0,0,0,0
FY2021,Inyo,Modification Notice,0,0,0,0
FY2021,Inyo,Termination Notice,0,0,0,0
FY2021,Inyo,Authorization Delay Notice,0,0,0,0
FY2021,Inyo,Timely Access Notice,0,0,0,0
FY2021,Inyo,Financial Liability Notice,0,0,0,0
FY2021,Inyo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Inyo,All,0,0,0,0
FY2021,Kern,Denial Notice,4,0,1,3
FY2021,Kern,Payment Denial Notice,0,0,0,0
FY2021,Kern,Delivery System Notice,1,0,0,1
FY2021,Kern,Modification Notice,0,0,0,0
FY2021,Kern,Termination Notice,1,0,0,1
FY2021,Kern,Authorization Delay Notice,0,0,0,0
FY2021,Kern,Timely Access Notice,0,0,0,0
FY2021,Kern,Financial Liability Notice,0,0,0,0
FY2021,Kern,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Kern,All,6,0,1,5
FY2021,Kings,Denial Notice,0,0,0,0
FY2021,Kings,Payment Denial Notice,5,0,1,4
FY2021,Kings,Delivery System Notice,6,0,1,5
FY2021,Kings,Modification Notice,0,0,0,0
FY2021,Kings,Termination Notice,8,0,5,3
FY2021,Kings,Authorization Delay Notice,0,0,0,0
FY2021,Kings,Timely Access Notice,0,0,0,0
FY2021,Kings,Financial Liability Notice,0,0,0,0
FY2021,Kings,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Kings,All,19,0,7,12
FY2021,Lake,Denial Notice,0,0,0,0
FY2021,Lake,Payment Denial Notice,0,0,0,0
FY2021,Lake,Delivery System Notice,0,0,0,0
FY2021,Lake,Modification Notice,0,0,0,0
FY2021,Lake,Termination Notice,0,0,0,0
FY2021,Lake,Authorization Delay Notice,0,0,0,0
FY2021,Lake,Timely Access Notice,0,0,0,0
FY2021,Lake,Financial Liability Notice,0,0,0,0
FY2021,Lake,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Lake,All,0,0,0,0
FY2021,Lassen,Denial Notice,0,0,0,0
FY2021,Lassen,Payment Denial Notice,0,0,0,0
FY2021,Lassen,Delivery System Notice,1,1,0,0
FY2021,Lassen,Modification Notice,0,0,0,0
FY2021,Lassen,Termination Notice,0,0,0,0
FY2021,Lassen,Authorization Delay Notice,0,0,0,0
FY2021,Lassen,Timely Access Notice,0,0,0,0
FY2021,Lassen,Financial Liability Notice,0,0,0,0
FY2021,Lassen,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Lassen,All,1,1,0,0
FY2021,Los Angeles,Denial Notice,0,0,0,0
FY2021,Los Angeles,Payment Denial Notice,637,0,451,222
FY2021,Los Angeles,Delivery System Notice,0,0,0,0
FY2021,Los Angeles,Modification Notice,0,0,0,0
FY2021,Los Angeles,Termination Notice,0,0,0,0
FY2021,Los Angeles,Authorization Delay Notice,0,0,0,0
FY2021,Los Angeles,Timely Access Notice,0,0,0,0
FY2021,Los Angeles,Financial Liability Notice,0,0,0,0
FY2021,Los Angeles,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Los Angeles,All,673,0,451,222
FY2021,Madera,Denial Notice,0,0,0,0
FY2021,Madera,Payment Denial Notice,0,0,0,0
FY2021,Madera,Delivery System Notice,0,0,0,0
FY2021,Madera,Modification Notice,0,0,0,0
FY2021,Madera,Termination Notice,7,0,1,6
FY2021,Madera,Authorization Delay Notice,0,0,0,0
FY2021,Madera,Timely Access Notice,0,0,0,0
FY2021,Madera,Financial Liability Notice,0,0,0,0
FY2021,Madera,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Madera,All,7,0,1,6
FY2021,Marin,Denial Notice,3,0,1,2
FY2021,Marin,Payment Denial Notice,35,0,7,28
FY2021,Marin,Delivery System Notice,0,0,0,0
FY2021,Marin,Modification Notice,0,0,0,0
FY2021,Marin,Termination Notice,0,0,0,0
FY2021,Marin,Authorization Delay Notice,0,0,0,0
FY2021,Marin,Timely Access Notice,0,0,0,0
FY2021,Marin,Financial Liability Notice,0,0,0,0
FY2021,Marin,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Marin,All,38,0,8,30
FY2021,Mariposa,Denial Notice,1,1,0,0
FY2021,Mariposa,Payment Denial Notice,0,0,0,0
FY2021,Mariposa,Delivery System Notice,0,0,0,0
FY2021,Mariposa,Modification Notice,0,0,0,0
FY2021,Mariposa,Termination Notice,0,0,0,0
FY2021,Mariposa,Authorization Delay Notice,0,0,0,0
FY2021,Mariposa,Timely Access Notice,0,0,0,0
FY2021,Mariposa,Financial Liability Notice,0,0,0,0
FY2021,Mariposa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Mariposa,All,1,1,0,0
FY2021,Mendocino,Denial Notice,0,0,0,0
FY2021,Mendocino,Payment Denial Notice,0,0,0,0
FY2021,Mendocino,Delivery System Notice,0,0,0,0
FY2021,Mendocino,Modification Notice,0,0,0,0
FY2021,Mendocino,Termination Notice,0,0,0,0
FY2021,Mendocino,Authorization Delay Notice,0,0,0,0
FY2021,Mendocino,Timely Access Notice,0,0,0,0
FY2021,Mendocino,Financial Liability Notice,0,0,0,0
FY2021,Mendocino,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Mendocino,All,0,0,0,0
FY2021,Merced,Denial Notice,0,0,0,0
FY2021,Merced,Payment Denial Notice,92,0,36,56
FY2021,Merced,Delivery System Notice,0,0,0,0
FY2021,Merced,Modification Notice,0,0,0,0
FY2021,Merced,Termination Notice,0,0,0,0
FY2021,Merced,Authorization Delay Notice,0,0,0,0
FY2021,Merced,Timely Access Notice,0,0,0,0
FY2021,Merced,Financial Liability Notice,0,0,0,0
FY2021,Merced,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Merced,All,92,0,36,56
FY2021,Modoc,Denial Notice,0,0,0,0
FY2021,Modoc,Payment Denial Notice,0,0,0,0
FY2021,Modoc,Delivery System Notice,0,0,0,0
FY2021,Modoc,Modification Notice,0,0,0,0
FY2021,Modoc,Termination Notice,0,0,0,0
FY2021,Modoc,Authorization Delay Notice,0,0,0,0
FY2021,Modoc,Timely Access Notice,0,0,0,0
FY2021,Modoc,Financial Liability Notice,0,0,0,0
FY2021,Modoc,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Modoc,All,0,0,0,0
FY2021,Mono,Denial Notice,0,0,0,0
FY2021,Mono,Payment Denial Notice,0,0,0,0
FY2021,Mono,Delivery System Notice,0,0,0,0
FY2021,Mono,Modification Notice,0,0,0,0
FY2021,Mono,Termination Notice,0,0,0,0
FY2021,Mono,Authorization Delay Notice,0,0,0,0
FY2021,Mono,Timely Access Notice,0,0,0,0
FY2021,Mono,Financial Liability Notice,0,0,0,0
FY2021,Mono,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Mono,All,0,0,0,0
FY2021,Monterey,Denial Notice,0,0,0,0
FY2021,Monterey,Payment Denial Notice,77,4,13,60
FY2021,Monterey,Delivery System Notice,0,0,0,0
FY2021,Monterey,Modification Notice,0,0,0,0
FY2021,Monterey,Termination Notice,0,0,0,0
FY2021,Monterey,Authorization Delay Notice,0,0,0,0
FY2021,Monterey,Timely Access Notice,0,0,0,0
FY2021,Monterey,Financial Liability Notice,0,0,0,0
FY2021,Monterey,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Monterey,All,77,4,13,60
FY2021,Napa,Denial Notice,0,0,0,0
FY2021,Napa,Payment Denial Notice,0,0,0,0
FY2021,Napa,Delivery System Notice,0,0,0,0
FY2021,Napa,Modification Notice,0,0,0,0
FY2021,Napa,Termination Notice,0,0,0,0
FY2021,Napa,Authorization Delay Notice,0,0,0,0
FY2021,Napa,Timely Access Notice,0,0,0,0
FY2021,Napa,Financial Liability Notice,0,0,0,0
FY2021,Napa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Napa,All,0,0,0,0
FY2021,Nevada,Denial Notice,0,0,0,0
FY2021,Nevada,Payment Denial Notice,0,0,0,0
FY2021,Nevada,Delivery System Notice,0,0,0,0
FY2021,Nevada,Modification Notice,0,0,0,0
FY2021,Nevada,Termination Notice,0,0,0,0
FY2021,Nevada,Authorization Delay Notice,0,0,0,0
FY2021,Nevada,Timely Access Notice,0,0,0,0
FY2021,Nevada,Financial Liability Notice,0,0,0,0
FY2021,Nevada,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Nevada,All,0,0,0,0
FY2021,Orange,Denial Notice,0,0,0,0
FY2021,Orange,Payment Denial Notice,18,0,5,13
FY2021,Orange,Delivery System Notice,4,0,4,0
FY2021,Orange,Modification Notice,0,0,0,0
FY2021,Orange,Termination Notice,4,0,2,2
FY2021,Orange,Authorization Delay Notice,0,0,0,0
FY2021,Orange,Timely Access Notice,0,0,0,0
FY2021,Orange,Financial Liability Notice,0,0,0,0
FY2021,Orange,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Orange,All,26,0,11,15
FY2021,Placer-Sierra,Denial Notice,0,0,0,0
FY2021,Placer-Sierra,Payment Denial Notice,2,0,2,0
FY2021,Placer-Sierra,Delivery System Notice,0,0,0,0
FY2021,Placer-Sierra,Modification Notice,0,0,0,0
FY2021,Placer-Sierra,Termination Notice,0,0,0,0
FY2021,Placer-Sierra,Authorization Delay Notice,0,0,0,0
FY2021,Placer-Sierra,Timely Access Notice,0,0,0,0
FY2021,Placer-Sierra,Financial Liability Notice,0,0,0,0
FY2021,Placer-Sierra,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Placer-Sierra,All,2,0,2,0
FY2021,Plumas,Denial Notice,1,0,1,0
FY2021,Plumas,Payment Denial Notice,1,0,0,1
FY2021,Plumas,Delivery System Notice,0,0,0,0
FY2021,Plumas,Modification Notice,0,0,0,0
FY2021,Plumas,Termination Notice,0,0,0,0
FY2021,Plumas,Authorization Delay Notice,0,0,0,0
FY2021,Plumas,Timely Access Notice,0,0,0,0
FY2021,Plumas,Financial Liability Notice,0,0,0,0
FY2021,Plumas,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Plumas,All,2,0,1,1
FY2021,Riverside,Denial Notice,0,0,0,0
FY2021,Riverside,Payment Denial Notice,0,0,0,0
FY2021,Riverside,Delivery System Notice,0,0,0,0
FY2021,Riverside,Modification Notice,0,0,0,0
FY2021,Riverside,Termination Notice,0,0,0,0
FY2021,Riverside,Authorization Delay Notice,0,0,0,0
FY2021,Riverside,Timely Access Notice,1,0,0,1
FY2021,Riverside,Financial Liability Notice,0,0,0,0
FY2021,Riverside,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Riverside,All,1,0,0,1
FY2021,Sacramento,Denial Notice,9,0,9,0
FY2021,Sacramento,Payment Denial Notice,0,0,0,0
FY2021,Sacramento,Delivery System Notice,2,0,2,0
FY2021,Sacramento,Modification Notice,0,0,0,0
FY2021,Sacramento,Termination Notice,14,3,6,5
FY2021,Sacramento,Authorization Delay Notice,0,0,0,0
FY2021,Sacramento,Timely Access Notice,0,0,0,0
FY2021,Sacramento,Financial Liability Notice,0,0,0,0
FY2021,Sacramento,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Sacramento,All,25,3,17,5
FY2021,San Benito,Denial Notice,0,0,0,0
FY2021,San Benito,Payment Denial Notice,0,0,0,0
FY2021,San Benito,Delivery System Notice,0,0,0,0
FY2021,San Benito,Modification Notice,0,0,0,0
FY2021,San Benito,Termination Notice,0,0,0,0
FY2021,San Benito,Authorization Delay Notice,0,0,0,0
FY2021,San Benito,Timely Access Notice,0,0,0,0
FY2021,San Benito,Financial Liability Notice,0,0,0,0
FY2021,San Benito,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,San Benito,All,0,0,0,0
FY2021,San Bernardino,Denial Notice,0,0,0,0
FY2021,San Bernardino,Payment Denial Notice,0,0,0,0
FY2021,San Bernardino,Delivery System Notice,0,0,0,0
FY2021,San Bernardino,Modification Notice,0,0,0,0
FY2021,San Bernardino,Termination Notice,0,0,0,0
FY2021,San Bernardino,Authorization Delay Notice,0,0,0,0
FY2021,San Bernardino,Timely Access Notice,0,0,0,0
FY2021,San Bernardino,Financial Liability Notice,0,0,0,0
FY2021,San Bernardino,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,San Bernardino,All,0,0,0,0
FY2021,San Diego,Denial Notice,0,0,0,0
FY2021,San Diego,Payment Denial Notice,0,0,0,0
FY2021,San Diego,Delivery System Notice,0,0,0,0
FY2021,San Diego,Modification Notice,0,0,0,0
FY2021,San Diego,Termination Notice,1,0,1,0
FY2021,San Diego,Authorization Delay Notice,0,0,0,0
FY2021,San Diego,Timely Access Notice,0,0,0,0
FY2021,San Diego,Financial Liability Notice,0,0,0,0
FY2021,San Diego,Grievance and Appeal Timely Resolution Notice,1,0,1,0
FY2021,San Diego,All,2,0,2,0
FY2021,San Francisco,Denial Notice,0,0,0,0
FY2021,San Francisco,Payment Denial Notice,0,0,0,0
FY2021,San Francisco,Delivery System Notice,0,0,0,0
FY2021,San Francisco,Modification Notice,0,0,0,0
FY2021,San Francisco,Termination Notice,1,0,1,0
FY2021,San Francisco,Authorization Delay Notice,0,0,0,0
FY2021,San Francisco,Timely Access Notice,0,0,0,0
FY2021,San Francisco,Financial Liability Notice,1,0,1,0
FY2021,San Francisco,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,San Francisco,All,2,0,2,0
FY2021,San Joaquin,Denial Notice,0,0,0,0
FY2021,San Joaquin,Payment Denial Notice,0,0,0,0
FY2021,San Joaquin,Delivery System Notice,0,0,0,0
FY2021,San Joaquin,Modification Notice,0,0,0,0
FY2021,San Joaquin,Termination Notice,1,0,0,1
FY2021,San Joaquin,Authorization Delay Notice,0,0,0,0
FY2021,San Joaquin,Timely Access Notice,0,0,0,0
FY2021,San Joaquin,Financial Liability Notice,0,0,0,0
FY2021,San Joaquin,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,San Joaquin,All,1,0,0,1
FY2021,San Luis Obispo,Denial Notice,1,0,0,1
FY2021,San Luis Obispo,Payment Denial Notice,2,0,0,2
FY2021,San Luis Obispo,Delivery System Notice,1,0,0,1
FY2021,San Luis Obispo,Modification Notice,0,0,0,0
FY2021,San Luis Obispo,Termination Notice,0,0,0,0
FY2021,San Luis Obispo,Authorization Delay Notice,0,0,0,0
FY2021,San Luis Obispo,Timely Access Notice,0,0,0,0
FY2021,San Luis Obispo,Financial Liability Notice,0,0,0,0
FY2021,San Luis Obispo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,San Luis Obispo,All,4,0,0,4
FY2021,San Mateo,Denial Notice,2,0,1,1
FY2021,San Mateo,Payment Denial Notice,0,0,0,0
FY2021,San Mateo,Delivery System Notice,0,0,0,0
FY2021,San Mateo,Modification Notice,1,0,1,0
FY2021,San Mateo,Termination Notice,0,0,0,0
FY2021,San Mateo,Authorization Delay Notice,0,0,0,0
FY2021,San Mateo,Timely Access Notice,0,0,0,0
FY2021,San Mateo,Financial Liability Notice,0,0,0,0
FY2021,San Mateo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,San Mateo,All,3,0,2,1
FY2021,Santa Barbara,Denial Notice,1,0,1,0
FY2021,Santa Barbara,Payment Denial Notice,0,0,0,0
FY2021,Santa Barbara,Delivery System Notice,1,0,0,1
FY2021,Santa Barbara,Modification Notice,0,0,0,0
FY2021,Santa Barbara,Termination Notice,2,0,2,0
