Report Year,Geography,Notice of Adverse Benefit Determination Category,Appeal Count,Unresolved as of June 30,Decision Upheld,Decision Overturned
FY1819,Inyo,Delivery System Notice,0,0,0,0
FY1819,Inyo,Modification Notice,0,0,0,0
FY1819,Inyo,Termination Notice,0,0,0,0
FY1819,Inyo,Authorization Delay Notice,0,0,0,0
FY1819,Inyo,Timely Access Notice,0,0,0,0
FY1819,Inyo,Financial Liability Notice,0,0,0,0
FY1819,Inyo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Inyo,All,0,0,0,0
FY1819,Kern,Denial Notice,0,0,0,0
FY1819,Kern,Payment Denial Notice,0,0,0,0
FY1819,Kern,Delivery System Notice,1,0,1,0
FY1819,Kern,Modification Notice,0,0,0,0
FY1819,Kern,Termination Notice,0,0,0,0
FY1819,Kern,Authorization Delay Notice,0,0,0,0
FY1819,Kern,Timely Access Notice,0,0,0,0
FY1819,Kern,Financial Liability Notice,0,0,0,0
FY1819,Kern,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Kern,All,1,0,1,0
FY1819,Kings,Denial Notice,0,0,0,0
FY1819,Kings,Payment Denial Notice,0,0,0,0
FY1819,Kings,Delivery System Notice,0,0,0,0
FY1819,Kings,Modification Notice,0,0,0,0
FY1819,Kings,Termination Notice,0,0,0,0
FY1819,Kings,Authorization Delay Notice,0,0,0,0
FY1819,Kings,Timely Access Notice,0,0,0,0
FY1819,Kings,Financial Liability Notice,0,0,0,0
FY1819,Kings,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Kings,All,0,0,0,0
FY1819,Lake,Denial Notice,0,0,0,0
FY1819,Lake,Payment Denial Notice,0,0,0,0
FY1819,Lake,Delivery System Notice,0,0,0,0
FY1819,Lake,Modification Notice,0,0,0,0
FY1819,Lake,Termination Notice,0,0,0,0
FY1819,Lake,Authorization Delay Notice,0,0,0,0
FY1819,Lake,Timely Access Notice,0,0,0,0
FY1819,Lake,Financial Liability Notice,0,0,0,0
FY1819,Lake,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Lake,All,0,0,0,0
FY1819,Lassen,Denial Notice,0,0,0,0
FY1819,Lassen,Payment Denial Notice,0,0,0,0
FY1819,Lassen,Delivery System Notice,0,0,0,0
FY1819,Lassen,Modification Notice,0,0,0,0
FY1819,Lassen,Termination Notice,0,0,0,0
FY1819,Lassen,Authorization Delay Notice,0,0,0,0
FY1819,Lassen,Timely Access Notice,0,0,0,0
FY1819,Lassen,Financial Liability Notice,0,0,0,0
FY1819,Lassen,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Lassen,All,0,0,0,0
FY1819,Los Angeles,Denial Notice,0,0,0,0
FY1819,Los Angeles,Payment Denial Notice,1311,0,1005,306
FY1819,Los Angeles,Delivery System Notice,0,0,0,0
FY1819,Los Angeles,Modification Notice,0,0,0,0
FY1819,Los Angeles,Termination Notice,0,0,0,0
FY1819,Los Angeles,Authorization Delay Notice,0,0,0,0
FY1819,Los Angeles,Timely Access Notice,0,0,0,0
FY1819,Los Angeles,Financial Liability Notice,0,0,0,0
FY1819,Los Angeles,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Los Angeles,All,1311,0,1005,306
FY1819,Madera,Denial Notice,0,0,0,0
FY1819,Madera,Payment Denial Notice,0,0,0,0
FY1819,Madera,Delivery System Notice,0,0,0,0
FY1819,Madera,Modification Notice,0,0,0,0
FY1819,Madera,Termination Notice,4,0,0,4
FY1819,Madera,Authorization Delay Notice,0,0,0,0
FY1819,Madera,Timely Access Notice,0,0,0,0
FY1819,Madera,Financial Liability Notice,0,0,0,0
FY1819,Madera,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Madera,All,4,0,0,4
FY1819,Marin,Denial Notice,2,0,1,1
FY1819,Marin,Payment Denial Notice,0,0,0,0
FY1819,Marin,Delivery System Notice,0,0,0,0
FY1819,Marin,Modification Notice,0,0,0,0
FY1819,Marin,Termination Notice,0,0,0,0
FY1819,Marin,Authorization Delay Notice,0,0,0,0
FY1819,Marin,Timely Access Notice,0,0,0,0
FY1819,Marin,Financial Liability Notice,0,0,0,0
FY1819,Marin,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Marin,All,2,0,1,1
FY1819,Mariposa,Denial Notice,0,0,0,0
FY1819,Mariposa,Payment Denial Notice,0,0,0,0
FY1819,Mariposa,Delivery System Notice,0,0,0,0
FY1819,Mariposa,Modification Notice,0,0,0,0
FY1819,Mariposa,Termination Notice,0,0,0,0
FY1819,Mariposa,Authorization Delay Notice,0,0,0,0
FY1819,Mariposa,Timely Access Notice,0,0,0,0
FY1819,Mariposa,Financial Liability Notice,0,0,0,0
FY1819,Mariposa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Mariposa,All,0,0,0,0
FY1819,Mendocino,Denial Notice,0,0,0,0
FY1819,Mendocino,Payment Denial Notice,1,0,0,1
FY1819,Mendocino,Delivery System Notice,0,0,0,0
FY1819,Mendocino,Modification Notice,0,0,0,0
FY1819,Mendocino,Termination Notice,0,0,0,0
FY1819,Mendocino,Authorization Delay Notice,0,0,0,0
FY1819,Mendocino,Timely Access Notice,0,0,0,0
FY1819,Mendocino,Financial Liability Notice,0,0,0,0
FY1819,Mendocino,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Mendocino,All,1,0,0,1
FY1819,Merced,Denial Notice,2,0,0,2
FY1819,Merced,Payment Denial Notice,14,0,1,13
FY1819,Merced,Delivery System Notice,0,0,0,0
FY1819,Merced,Modification Notice,0,0,0,0
FY1819,Merced,Termination Notice,0,0,0,0
FY1819,Merced,Authorization Delay Notice,0,0,0,0
FY1819,Merced,Timely Access Notice,0,0,0,0
FY1819,Merced,Financial Liability Notice,0,0,0,0
FY1819,Merced,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Merced,All,16,0,1,15
FY1819,Modoc,Denial Notice,0,0,0,0
FY1819,Modoc,Payment Denial Notice,0,0,0,0
FY1819,Modoc,Delivery System Notice,0,0,0,0
FY1819,Modoc,Modification Notice,0,0,0,0
FY1819,Modoc,Termination Notice,0,0,0,0
FY1819,Modoc,Authorization Delay Notice,0,0,0,0
FY1819,Modoc,Timely Access Notice,0,0,0,0
FY1819,Modoc,Financial Liability Notice,0,0,0,0
FY1819,Modoc,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Modoc,All,0,0,0,0
FY1819,Mono,Denial Notice,0,0,0,0
FY1819,Mono,Payment Denial Notice,0,0,0,0
FY1819,Mono,Delivery System Notice,0,0,0,0
FY1819,Mono,Modification Notice,0,0,0,0
FY1819,Mono,Termination Notice,0,0,0,0
FY1819,Mono,Authorization Delay Notice,0,0,0,0
FY1819,Mono,Timely Access Notice,0,0,0,0
FY1819,Mono,Financial Liability Notice,0,0,0,0
FY1819,Mono,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Mono,All,0,0,0,0
FY1819,Monterey,Denial Notice,0,0,0,0
FY1819,Monterey,Payment Denial Notice,0,0,0,0
FY1819,Monterey,Delivery System Notice,0,0,0,0
FY1819,Monterey,Modification Notice,0,0,0,0
FY1819,Monterey,Termination Notice,0,0,0,0
FY1819,Monterey,Authorization Delay Notice,0,0,0,0
FY1819,Monterey,Timely Access Notice,0,0,0,0
FY1819,Monterey,Financial Liability Notice,0,0,0,0
FY1819,Monterey,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Monterey,All,0,0,0,0
FY1819,Napa,Denial Notice,0,0,0,0
FY1819,Napa,Payment Denial Notice,0,0,0,0
FY1819,Napa,Delivery System Notice,0,0,0,0
FY1819,Napa,Modification Notice,0,0,0,0
FY1819,Napa,Termination Notice,0,0,0,0
FY1819,Napa,Authorization Delay Notice,0,0,0,0
FY1819,Napa,Timely Access Notice,0,0,0,0
FY1819,Napa,Financial Liability Notice,0,0,0,0
FY1819,Napa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Napa,All,0,0,0,0
FY1819,Nevada,Denial Notice,0,0,0,0
FY1819,Nevada,Payment Denial Notice,0,0,0,0
FY1819,Nevada,Delivery System Notice,0,0,0,0
FY1819,Nevada,Modification Notice,0,0,0,0
FY1819,Nevada,Termination Notice,0,0,0,0
FY1819,Nevada,Authorization Delay Notice,0,0,0,0
FY1819,Nevada,Timely Access Notice,0,0,0,0
FY1819,Nevada,Financial Liability Notice,0,0,0,0
FY1819,Nevada,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Nevada,All,0,0,0,0
FY1819,Orange,Denial Notice,0,0,0,0
FY1819,Orange,Payment Denial Notice,0,0,0,0
FY1819,Orange,Delivery System Notice,2,0,1,1
FY1819,Orange,Modification Notice,0,0,0,0
FY1819,Orange,Termination Notice,15,0,1,14
FY1819,Orange,Authorization Delay Notice,0,0,0,0
FY1819,Orange,Timely Access Notice,0,0,0,0
FY1819,Orange,Financial Liability Notice,0,0,0,0
FY1819,Orange,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Orange,All,17,0,2,15
FY1819,Placer-Sierra,Denial Notice,0,0,0,0
FY1819,Placer-Sierra,Payment Denial Notice,0,0,0,0
FY1819,Placer-Sierra,Delivery System Notice,0,0,0,0
FY1819,Placer-Sierra,Modification Notice,0,0,0,0
FY1819,Placer-Sierra,Termination Notice,0,0,0,0
FY1819,Placer-Sierra,Authorization Delay Notice,0,0,0,0
FY1819,Placer-Sierra,Timely Access Notice,0,0,0,0
FY1819,Placer-Sierra,Financial Liability Notice,0,0,0,0
FY1819,Placer-Sierra,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Placer-Sierra,All,0,0,0,0
FY1819,Plumas,Denial Notice,0,0,0,0
FY1819,Plumas,Payment Denial Notice,0,0,0,0
FY1819,Plumas,Delivery System Notice,2,0,0,2
FY1819,Plumas,Modification Notice,0,0,0,0
FY1819,Plumas,Termination Notice,0,0,0,0
FY1819,Plumas,Authorization Delay Notice,0,0,0,0
FY1819,Plumas,Timely Access Notice,0,0,0,0
FY1819,Plumas,Financial Liability Notice,0,0,0,0
FY1819,Plumas,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Plumas,All,2,0,0,2
FY1819,Riverside,Denial Notice,10,2,8,0
FY1819,Riverside,Payment Denial Notice,7,0,6,1
FY1819,Riverside,Delivery System Notice,0,0,0,0
FY1819,Riverside,Modification Notice,0,0,0,0
FY1819,Riverside,Termination Notice,1,0,0,1
FY1819,Riverside,Authorization Delay Notice,7,0,6,1
FY1819,Riverside,Timely Access Notice,0,0,0,0
FY1819,Riverside,Financial Liability Notice,0,0,0,0
FY1819,Riverside,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Riverside,All,25,2,20,3
FY1819,Sacramento,Denial Notice,5,0,4,1
FY1819,Sacramento,Payment Denial Notice,0,0,0,0
FY1819,Sacramento,Delivery System Notice,0,0,0,0
FY1819,Sacramento,Modification Notice,0,0,0,0
FY1819,Sacramento,Termination Notice,0,0,0,0
FY1819,Sacramento,Authorization Delay Notice,0,0,0,0
FY1819,Sacramento,Timely Access Notice,0,0,0,0
FY1819,Sacramento,Financial Liability Notice,0,0,0,0
FY1819,Sacramento,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Sacramento,All,5,0,4,1
FY1819,San Benito,Denial Notice,1,0,1,0
FY1819,San Benito,Payment Denial Notice,0,0,0,0
FY1819,San Benito,Delivery System Notice,0,0,0,0
FY1819,San Benito,Modification Notice,0,0,0,0
FY1819,San Benito,Termination Notice,0,0,0,0
FY1819,San Benito,Authorization Delay Notice,0,0,0,0
FY1819,San Benito,Timely Access Notice,0,0,0,0
FY1819,San Benito,Financial Liability Notice,0,0,0,0
FY1819,San Benito,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,San Benito,All,1,0,1,0
FY1819,San Bernardino,Denial Notice,0,0,0,0
FY1819,San Bernardino,Payment Denial Notice,0,0,0,0
FY1819,San Bernardino,Delivery System Notice,0,0,0,0
FY1819,San Bernardino,Modification Notice,0,0,0,0
FY1819,San Bernardino,Termination Notice,0,0,0,0
FY1819,San Bernardino,Authorization Delay Notice,0,0,0,0
FY1819,San Bernardino,Timely Access Notice,0,0,0,0
FY1819,San Bernardino,Financial Liability Notice,0,0,0,0
FY1819,San Bernardino,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,San Bernardino,All,0,0,0,0
FY1819,San Diego,Denial Notice,2,0,1,1
FY1819,San Diego,Payment Denial Notice,0,0,0,0
FY1819,San Diego,Delivery System Notice,1,0,0,1
FY1819,San Diego,Modification Notice,0,0,0,0
FY1819,San Diego,Termination Notice,0,0,0,0
FY1819,San Diego,Authorization Delay Notice,0,0,0,0
FY1819,San Diego,Timely Access Notice,0,0,0,0
FY1819,San Diego,Financial Liability Notice,0,0,0,0
FY1819,San Diego,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,San Diego,All,3,0,1,2
FY1819,San Francisco,Denial Notice,0,0,0,0
FY1819,San Francisco,Payment Denial Notice,0,0,0,0
FY1819,San Francisco,Delivery System Notice,0,0,0,0
FY1819,San Francisco,Modification Notice,0,0,0,0
FY1819,San Francisco,Termination Notice,3,0,3,0
FY1819,San Francisco,Authorization Delay Notice,0,0,0,0
FY1819,San Francisco,Timely Access Notice,0,0,0,0
FY1819,San Francisco,Financial Liability Notice,0,0,0,0
FY1819,San Francisco,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,San Francisco,All,3,0,3,0
FY1819,San Joaquin,Denial Notice,0,0,0,0
FY1819,San Joaquin,Payment Denial Notice,0,0,0,0
FY1819,San Joaquin,Delivery System Notice,0,0,0,0
FY1819,San Joaquin,Modification Notice,0,0,0,0
FY1819,San Joaquin,Termination Notice,0,0,0,0
FY1819,San Joaquin,Authorization Delay Notice,0,0,0,0
FY1819,San Joaquin,Timely Access Notice,0,0,0,0
FY1819,San Joaquin,Financial Liability Notice,0,0,0,0
FY1819,San Joaquin,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,San Joaquin,All,0,0,0,0
FY1819,San Luis Obispo,Denial Notice,4,0,1,3
FY1819,San Luis Obispo,Payment Denial Notice,0,0,0,0
FY1819,San Luis Obispo,Delivery System Notice,3,0,3,0
FY1819,San Luis Obispo,Modification Notice,0,0,0,0
FY1819,San Luis Obispo,Termination Notice,0,0,0,0
FY1819,San Luis Obispo,Authorization Delay Notice,0,0,0,0
FY1819,San Luis Obispo,Timely Access Notice,0,0,0,0
FY1819,San Luis Obispo,Financial Liability Notice,0,0,0,0
FY1819,San Luis Obispo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,San Luis Obispo,All,7,0,4,3
FY1819,San Mateo,Denial Notice,0,0,0,0
FY1819,San Mateo,Payment Denial Notice,1,0,1,0
FY1819,San Mateo,Delivery System Notice,0,0,0,0
FY1819,San Mateo,Modification Notice,0,0,0,0
FY1819,San Mateo,Termination Notice,0,0,0,0
FY1819,San Mateo,Authorization Delay Notice,0,0,0,0
FY1819,San Mateo,Timely Access Notice,0,0,0,0
FY1819,San Mateo,Financial Liability Notice,0,0,0,0
FY1819,San Mateo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,San Mateo,All,1,0,1,0
FY1819,Santa Barbara,Denial Notice,1,0,0,1
FY1819,Santa Barbara,Payment Denial Notice,0,0,0,0
FY1819,Santa Barbara,Delivery System Notice,0,0,0,0
FY1819,Santa Barbara,Modification Notice,0,0,0,0
FY1819,Santa Barbara,Termination Notice,1,0,0,1
FY1819,Santa Barbara,Authorization Delay Notice,0,0,0,0
FY1819,Santa Barbara,Timely Access Notice,0,0,0,0
FY1819,Santa Barbara,Financial Liability Notice,0,0,0,0
FY1819,Santa Barbara,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Santa Barbara,All,2,0,0,2
FY1819,Santa Clara,Denial Notice,0,0,0,0
FY1819,Santa Clara,Payment Denial Notice,0,0,0,0
FY1819,Santa Clara,Delivery System Notice,0,0,0,0
FY1819,Santa Clara,Modification Notice,0,0,0,0
FY1819,Santa Clara,Termination Notice,0,0,0,0
FY1819,Santa Clara,Authorization Delay Notice,1,0,0,1
FY1819,Santa Clara,Timely Access Notice,0,0,0,0
FY1819,Santa Clara,Financial Liability Notice,0,0,0,0
FY1819,Santa Clara,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Santa Clara,All,1,0,0,1
FY1819,Santa Cruz,Denial Notice,0,0,0,0
FY1819,Santa Cruz,Payment Denial Notice,0,0,0,0
FY1819,Santa Cruz,Delivery System Notice,0,0,0,0
FY1819,Santa Cruz,Modification Notice,0,0,0,0
FY1819,Santa Cruz,Termination Notice,2,0,1,1
FY1819,Santa Cruz,Authorization Delay Notice,0,0,0,0
FY1819,Santa Cruz,Timely Access Notice,0,0,0,0
FY1819,Santa Cruz,Financial Liability Notice,0,0,0,0
FY1819,Santa Cruz,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Santa Cruz,All,2,0,1,1
FY1819,Shasta,Denial Notice,0,0,0,0
FY1819,Shasta,Payment Denial Notice,0,0,0,0
FY1819,Shasta,Delivery System Notice,0,0,0,0
FY1819,Shasta,Modification Notice,0,0,0,0
FY1819,Shasta,Termination Notice,0,0,0,0
FY1819,Shasta,Authorization Delay Notice,0,0,0,0
FY1819,Shasta,Timely Access Notice,0,0,0,0
FY1819,Shasta,Financial Liability Notice,0,0,0,0
FY1819,Shasta,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Shasta,All,0,0,0,0
FY1819,Siskiyou,Denial Notice,0,0,0,0
FY1819,Siskiyou,Payment Denial Notice,0,0,0,0
FY1819,Siskiyou,Delivery System Notice,0,0,0,0
FY1819,Siskiyou,Modification Notice,0,0,0,0
FY1819,Siskiyou,Termination Notice,0,0,0,0
FY1819,Siskiyou,Authorization Delay Notice,0,0,0,0
FY1819,Siskiyou,Timely Access Notice,0,0,0,0
FY1819,Siskiyou,Financial Liability Notice,0,0,0,0
FY1819,Siskiyou,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Siskiyou,All,0,0,0,0
FY1819,Solano,Denial Notice,0,0,0,0
FY1819,Solano,Payment Denial Notice,0,0,0,0
FY1819,Solano,Delivery System Notice,0,0,0,0
FY1819,Solano,Modification Notice,0,0,0,0
FY1819,Solano,Termination Notice,1,0,1,0
FY1819,Solano,Authorization Delay Notice,0,0,0,0
FY1819,Solano,Timely Access Notice,0,0,0,0
FY1819,Solano,Financial Liability Notice,0,0,0,0
FY1819,Solano,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Solano,All,1,0,1,0
FY1819,Sonoma,Denial Notice,0,0,0,0
FY1819,Sonoma,Payment Denial Notice,4,0,1,3
FY1819,Sonoma,Delivery System Notice,0,0,0,0
FY1819,Sonoma,Modification Notice,0,0,0,0
FY1819,Sonoma,Termination Notice,0,0,0,0
FY1819,Sonoma,Authorization Delay Notice,0,0,0,0
FY1819,Sonoma,Timely Access Notice,0,0,0,0
FY1819,Sonoma,Financial Liability Notice,0,0,0,0
FY1819,Sonoma,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Sonoma,All,4,0,1,3
FY1819,Stanislaus,Denial Notice,0,0,0,0
FY1819,Stanislaus,Payment Denial Notice,0,0,0,0
FY1819,Stanislaus,Delivery System Notice,1,0,0,1
FY1819,Stanislaus,Modification Notice,0,0,0,0
FY1819,Stanislaus,Termination Notice,0,0,0,0
FY1819,Stanislaus,Authorization Delay Notice,0,0,0,0
FY1819,Stanislaus,Timely Access Notice,0,0,0,0
FY1819,Stanislaus,Financial Liability Notice,0,0,0,0
FY1819,Stanislaus,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Stanislaus,All,1,0,0,1
FY1819,Sutter-Yuba,Denial Notice,0,0,0,0
FY1819,Sutter-Yuba,Payment Denial Notice,0,0,0,0
FY1819,Sutter-Yuba,Delivery System Notice,0,0,0,0
FY1819,Sutter-Yuba,Modification Notice,0,0,0,0
FY1819,Sutter-Yuba,Termination Notice,0,0,0,0
FY1819,Sutter-Yuba,Authorization Delay Notice,0,0,0,0
FY1819,Sutter-Yuba,Timely Access Notice,0,0,0,0
FY1819,Sutter-Yuba,Financial Liability Notice,0,0,0,0
FY1819,Sutter-Yuba,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Sutter-Yuba,All,0,0,0,0
FY1819,Tehama,Denial Notice,3,1,0,2
FY1819,Tehama,Payment Denial Notice,0,0,0,0
FY1819,Tehama,Delivery System Notice,0,0,0,0
FY1819,Tehama,Modification Notice,0,0,0,0
FY1819,Tehama,Termination Notice,0,0,0,0
FY1819,Tehama,Authorization Delay Notice,0,0,0,0
FY1819,Tehama,Timely Access Notice,0,0,0,0
FY1819,Tehama,Financial Liability Notice,0,0,0,0
FY1819,Tehama,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Tehama,All,3,1,0,2
FY1819,Trinity,Denial Notice,0,0,0,0
FY1819,Trinity,Payment Denial Notice,0,0,0,0
FY1819,Trinity,Delivery System Notice,0,0,0,0
FY1819,Trinity,Modification Notice,0,0,0,0
FY1819,Trinity,Termination Notice,0,0,0,0
FY1819,Trinity,Authorization Delay Notice,0,0,0,0
FY1819,Trinity,Timely Access Notice,0,0,0,0
FY1819,Trinity,Financial Liability Notice,0,0,0,0
FY1819,Trinity,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Trinity,All,0,0,0,0
FY1819,Tulare,Denial Notice,0,0,0,0
FY1819,Tulare,Payment Denial Notice,0,0,0,0
FY1819,Tulare,Delivery System Notice,37,0,27,10
FY1819,Tulare,Modification Notice,0,0,0,0
FY1819,Tulare,Termination Notice,4,0,3,1
FY1819,Tulare,Authorization Delay Notice,0,0,0,0
FY1819,Tulare,Timely Access Notice,0,0,0,0
FY1819,Tulare,Financial Liability Notice,0,0,0,0
FY1819,Tulare,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Tulare,All,41,0,30,11
FY1819,Tuolumne,Denial Notice,0,0,0,0
FY1819,Tuolumne,Payment Denial Notice,0,0,0,0
FY1819,Tuolumne,Delivery System Notice,0,0,0,0
FY1819,Tuolumne,Modification Notice,0,0,0,0
FY1819,Tuolumne,Termination Notice,0,0,0,0
FY1819,Tuolumne,Authorization Delay Notice,0,0,0,0
FY1819,Tuolumne,Timely Access Notice,0,0,0,0
FY1819,Tuolumne,Financial Liability Notice,0,0,0,0
FY1819,Tuolumne,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Tuolumne,All,0,0,0,0
FY1819,Ventura,Denial Notice,0,0,0,0
FY1819,Ventura,Payment Denial Notice,0,0,0,0
FY1819,Ventura,Delivery System Notice,0,0,0,0
FY1819,Ventura,Modification Notice,0,0,0,0
FY1819,Ventura,Termination Notice,0,0,0,0
FY1819,Ventura,Authorization Delay Notice,0,0,0,0
FY1819,Ventura,Timely Access Notice,0,0,0,0
FY1819,Ventura,Financial Liability Notice,0,0,0,0
FY1819,Ventura,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Ventura,All,0,0,0,0
FY1819,Yolo,Denial Notice,0,0,0,0
FY1819,Yolo,Payment Denial Notice,0,0,0,0
FY1819,Yolo,Delivery System Notice,2,0,1,1
FY1819,Yolo,Modification Notice,0,0,0,0
FY1819,Yolo,Termination Notice,0,0,0,0
FY1819,Yolo,Authorization Delay Notice,0,0,0,0
FY1819,Yolo,Timely Access Notice,0,0,0,0
FY1819,Yolo,Financial Liability Notice,0,0,0,0
FY1819,Yolo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1819,Yolo,All,2,0,1,1
