Report Year,Geography,Notice of Adverse Benefit Determination (NOABD) Category,Notice of Adverse Benefit Determination (NOABD) Issued
FY2021,State,Denial Notice,8979
FY2021,State,Payment Denial Notice,9325
FY2021,State,Delivery System Notice,11808
FY2021,State,Modification Notice,364
FY2021,State,Termination Notice,25177
FY2021,State,Authorization Delay Notice,581
FY2021,State,Timely Access Notice,9850
FY2021,State,Financial Liability Notice,15
FY2021,State,Grievance and Appeal Timely Resolution Notice,191
FY2021,State,All,66290
FY2021,Alameda,Denial Notice,44
FY2021,Alameda,Payment Denial Notice,690
FY2021,Alameda,Delivery System Notice,818
FY2021,Alameda,Modification Notice,1
FY2021,Alameda,Termination Notice,426
FY2021,Alameda,Authorization Delay Notice,18
FY2021,Alameda,Timely Access Notice,74
FY2021,Alameda,Financial Liability Notice,0
FY2021,Alameda,Grievance and Appeal Timely Resolution Notice,0
FY2021,Alameda,All,2071
FY2021,Alpine,Denial Notice,3
FY2021,Alpine,Payment Denial Notice,0
FY2021,Alpine,Delivery System Notice,4
FY2021,Alpine,Modification Notice,1
FY2021,Alpine,Termination Notice,7
FY2021,Alpine,Authorization Delay Notice,0
FY2021,Alpine,Timely Access Notice,0
FY2021,Alpine,Financial Liability Notice,0
FY2021,Alpine,Grievance and Appeal Timely Resolution Notice,0
FY2021,Alpine,All,15
FY2021,Amador,Denial Notice,29
FY2021,Amador,Payment Denial Notice,1
FY2021,Amador,Delivery System Notice,0
FY2021,Amador,Modification Notice,0
FY2021,Amador,Termination Notice,0
FY2021,Amador,Authorization Delay Notice,0
FY2021,Amador,Timely Access Notice,5
FY2021,Amador,Financial Liability Notice,0
FY2021,Amador,Grievance and Appeal Timely Resolution Notice,3
FY2021,Amador,All,38
FY2021,Butte,Denial Notice,0
FY2021,Butte,Payment Denial Notice,0
FY2021,Butte,Delivery System Notice,496
FY2021,Butte,Modification Notice,0
FY2021,Butte,Termination Notice,247
FY2021,Butte,Authorization Delay Notice,0
FY2021,Butte,Timely Access Notice,16
FY2021,Butte,Financial Liability Notice,0
FY2021,Butte,Grievance and Appeal Timely Resolution Notice,0
FY2021,Butte,All,759
FY2021,Calaveras,Denial Notice,10
FY2021,Calaveras,Payment Denial Notice,0
FY2021,Calaveras,Delivery System Notice,0
FY2021,Calaveras,Modification Notice,0
FY2021,Calaveras,Termination Notice,212
FY2021,Calaveras,Authorization Delay Notice,0
FY2021,Calaveras,Timely Access Notice,0
FY2021,Calaveras,Financial Liability Notice,0
FY2021,Calaveras,Grievance and Appeal Timely Resolution Notice,0
FY2021,Calaveras,All,222
FY2021,Colusa,Denial Notice,16
FY2021,Colusa,Payment Denial Notice,0
FY2021,Colusa,Delivery System Notice,16
FY2021,Colusa,Modification Notice,20
FY2021,Colusa,Termination Notice,1
FY2021,Colusa,Authorization Delay Notice,0
FY2021,Colusa,Timely Access Notice,28
FY2021,Colusa,Financial Liability Notice,0
FY2021,Colusa,Grievance and Appeal Timely Resolution Notice,0
FY2021,Colusa,All,81
FY2021,Contra Costa,Denial Notice,269
FY2021,Contra Costa,Payment Denial Notice,18
FY2021,Contra Costa,Delivery System Notice,30
FY2021,Contra Costa,Modification Notice,1
FY2021,Contra Costa,Termination Notice,1
FY2021,Contra Costa,Authorization Delay Notice,0
FY2021,Contra Costa,Timely Access Notice,83
FY2021,Contra Costa,Financial Liability Notice,0
FY2021,Contra Costa,Grievance and Appeal Timely Resolution Notice,0
FY2021,Contra Costa,All,402
FY2021,Del Norte,Denial Notice,49
FY2021,Del Norte,Payment Denial Notice,10
FY2021,Del Norte,Delivery System Notice,2
FY2021,Del Norte,Modification Notice,0
FY2021,Del Norte,Termination Notice,33
FY2021,Del Norte,Authorization Delay Notice,0
FY2021,Del Norte,Timely Access Notice,0
FY2021,Del Norte,Financial Liability Notice,0
FY2021,Del Norte,Grievance and Appeal Timely Resolution Notice,0
FY2021,Del Norte,All,94
FY2021,El Dorado,Denial Notice,2
FY2021,El Dorado,Payment Denial Notice,0
FY2021,El Dorado,Delivery System Notice,700
FY2021,El Dorado,Modification Notice,13
FY2021,El Dorado,Termination Notice,58
FY2021,El Dorado,Authorization Delay Notice,0
FY2021,El Dorado,Timely Access Notice,0
FY2021,El Dorado,Financial Liability Notice,0
FY2021,El Dorado,Grievance and Appeal Timely Resolution Notice,0
FY2021,El Dorado,All,773
FY2021,Fresno,Denial Notice,424
FY2021,Fresno,Payment Denial Notice,32
FY2021,Fresno,Delivery System Notice,0
FY2021,Fresno,Modification Notice,1
FY2021,Fresno,Termination Notice,0
FY2021,Fresno,Authorization Delay Notice,0
FY2021,Fresno,Timely Access Notice,972
FY2021,Fresno,Financial Liability Notice,0
FY2021,Fresno,Grievance and Appeal Timely Resolution Notice,0
FY2021,Fresno,All,1429
FY2021,Glenn,Denial Notice,61
FY2021,Glenn,Payment Denial Notice,0
FY2021,Glenn,Delivery System Notice,0
FY2021,Glenn,Modification Notice,0
FY2021,Glenn,Termination Notice,0
FY2021,Glenn,Authorization Delay Notice,0
FY2021,Glenn,Timely Access Notice,24
FY2021,Glenn,Financial Liability Notice,0
FY2021,Glenn,Grievance and Appeal Timely Resolution Notice,0
FY2021,Glenn,All,85
FY2021,Humboldt,Denial Notice,3
FY2021,Humboldt,Payment Denial Notice,118
FY2021,Humboldt,Delivery System Notice,54
FY2021,Humboldt,Modification Notice,0
FY2021,Humboldt,Termination Notice,54
FY2021,Humboldt,Authorization Delay Notice,0
FY2021,Humboldt,Timely Access Notice,2
FY2021,Humboldt,Financial Liability Notice,0
FY2021,Humboldt,Grievance and Appeal Timely Resolution Notice,18
FY2021,Humboldt,All,249
FY2021,Imperial,Denial Notice,0
FY2021,Imperial,Payment Denial Notice,15
FY2021,Imperial,Delivery System Notice,371
FY2021,Imperial,Modification Notice,0
FY2021,Imperial,Termination Notice,3534
FY2021,Imperial,Authorization Delay Notice,0
FY2021,Imperial,Timely Access Notice,0
FY2021,Imperial,Financial Liability Notice,0
FY2021,Imperial,Grievance and Appeal Timely Resolution Notice,0
FY2021,Imperial,All,3920
FY2021,Inyo,Denial Notice,19
FY2021,Inyo,Payment Denial Notice,0
FY2021,Inyo,Delivery System Notice,0
FY2021,Inyo,Modification Notice,0
FY2021,Inyo,Termination Notice,0
FY2021,Inyo,Authorization Delay Notice,0
FY2021,Inyo,Timely Access Notice,0
FY2021,Inyo,Financial Liability Notice,0
FY2021,Inyo,Grievance and Appeal Timely Resolution Notice,0
FY2021,Inyo,All,19
FY2021,Kern,Denial Notice,284
FY2021,Kern,Payment Denial Notice,160
FY2021,Kern,Delivery System Notice,1033
FY2021,Kern,Modification Notice,1
FY2021,Kern,Termination Notice,67
FY2021,Kern,Authorization Delay Notice,25
FY2021,Kern,Timely Access Notice,1062
FY2021,Kern,Financial Liability Notice,0
FY2021,Kern,Grievance and Appeal Timely Resolution Notice,0
FY2021,Kern,All,2632
FY2021,Kings,Denial Notice,6
FY2021,Kings,Payment Denial Notice,37
FY2021,Kings,Delivery System Notice,253
FY2021,Kings,Modification Notice,0
FY2021,Kings,Termination Notice,485
FY2021,Kings,Authorization Delay Notice,0
FY2021,Kings,Timely Access Notice,0
FY2021,Kings,Financial Liability Notice,0
FY2021,Kings,Grievance and Appeal Timely Resolution Notice,1
FY2021,Kings,All,782
FY2021,Lake,Denial Notice,0
FY2021,Lake,Payment Denial Notice,25
FY2021,Lake,Delivery System Notice,0
FY2021,Lake,Modification Notice,0
FY2021,Lake,Termination Notice,0
FY2021,Lake,Authorization Delay Notice,0
FY2021,Lake,Timely Access Notice,28
FY2021,Lake,Financial Liability Notice,0
FY2021,Lake,Grievance and Appeal Timely Resolution Notice,0
FY2021,Lake,All,53
FY2021,Lassen,Denial Notice,0
FY2021,Lassen,Payment Denial Notice,2
FY2021,Lassen,Delivery System Notice,65
FY2021,Lassen,Modification Notice,0
FY2021,Lassen,Termination Notice,0
FY2021,Lassen,Authorization Delay Notice,0
FY2021,Lassen,Timely Access Notice,0
FY2021,Lassen,Financial Liability Notice,0
FY2021,Lassen,Grievance and Appeal Timely Resolution Notice,0
FY2021,Lassen,All,67
FY2021,Los Angeles,Denial Notice,0
FY2021,Los Angeles,Payment Denial Notice,2176
FY2021,Los Angeles,Delivery System Notice,722
FY2021,Los Angeles,Modification Notice,3
FY2021,Los Angeles,Termination Notice,1
FY2021,Los Angeles,Authorization Delay Notice,0
FY2021,Los Angeles,Timely Access Notice,2715
FY2021,Los Angeles,Financial Liability Notice,8
FY2021,Los Angeles,Grievance and Appeal Timely Resolution Notice,1
FY2021,Los Angeles,All,5626
FY2021,Madera,Denial Notice,0
FY2021,Madera,Payment Denial Notice,24
FY2021,Madera,Delivery System Notice,13
FY2021,Madera,Modification Notice,0
FY2021,Madera,Termination Notice,55
FY2021,Madera,Authorization Delay Notice,0
FY2021,Madera,Timely Access Notice,0
FY2021,Madera,Financial Liability Notice,0
FY2021,Madera,Grievance and Appeal Timely Resolution Notice,0
FY2021,Madera,All,92
FY2021,Marin,Denial Notice,81
FY2021,Marin,Payment Denial Notice,59
FY2021,Marin,Delivery System Notice,0
FY2021,Marin,Modification Notice,0
FY2021,Marin,Termination Notice,19
FY2021,Marin,Authorization Delay Notice,8
FY2021,Marin,Timely Access Notice,1
FY2021,Marin,Financial Liability Notice,0
FY2021,Marin,Grievance and Appeal Timely Resolution Notice,0
FY2021,Marin,All,168
FY2021,Mariposa,Denial Notice,1
FY2021,Mariposa,Payment Denial Notice,3
FY2021,Mariposa,Delivery System Notice,56
FY2021,Mariposa,Modification Notice,0
FY2021,Mariposa,Termination Notice,484
FY2021,Mariposa,Authorization Delay Notice,0
FY2021,Mariposa,Timely Access Notice,20
FY2021,Mariposa,Financial Liability Notice,0
FY2021,Mariposa,Grievance and Appeal Timely Resolution Notice,0
FY2021,Mariposa,All,564
FY2021,Mendocino,Denial Notice,67
FY2021,Mendocino,Payment Denial Notice,25
FY2021,Mendocino,Delivery System Notice,0
FY2021,Mendocino,Modification Notice,0
FY2021,Mendocino,Termination Notice,0
FY2021,Mendocino,Authorization Delay Notice,0
FY2021,Mendocino,Timely Access Notice,0
FY2021,Mendocino,Financial Liability Notice,0
FY2021,Mendocino,Grievance and Appeal Timely Resolution Notice,0
FY2021,Mendocino,All,92
FY2021,Merced,Denial Notice,5
FY2021,Merced,Payment Denial Notice,151
FY2021,Merced,Delivery System Notice,147
FY2021,Merced,Modification Notice,0
FY2021,Merced,Termination Notice,1020
FY2021,Merced,Authorization Delay Notice,0
FY2021,Merced,Timely Access Notice,838
FY2021,Merced,Financial Liability Notice,0
FY2021,Merced,Grievance and Appeal Timely Resolution Notice,0
FY2021,Merced,All,2161
FY2021,Modoc,Denial Notice,26
FY2021,Modoc,Payment Denial Notice,0
FY2021,Modoc,Delivery System Notice,0
FY2021,Modoc,Modification Notice,0
FY2021,Modoc,Termination Notice,0
FY2021,Modoc,Authorization Delay Notice,0
FY2021,Modoc,Timely Access Notice,0
FY2021,Modoc,Financial Liability Notice,0
FY2021,Modoc,Grievance and Appeal Timely Resolution Notice,0
FY2021,Modoc,All,26
FY2021,Mono,Denial Notice,0
FY2021,Mono,Payment Denial Notice,0
FY2021,Mono,Delivery System Notice,0
FY2021,Mono,Modification Notice,0
FY2021,Mono,Termination Notice,0
FY2021,Mono,Authorization Delay Notice,0
FY2021,Mono,Timely Access Notice,9
FY2021,Mono,Financial Liability Notice,0
FY2021,Mono,Grievance and Appeal Timely Resolution Notice,0
FY2021,Mono,All,9
FY2021,Monterey,Denial Notice,61
FY2021,Monterey,Payment Denial Notice,218
FY2021,Monterey,Delivery System Notice,1318
FY2021,Monterey,Modification Notice,9
FY2021,Monterey,Termination Notice,116
FY2021,Monterey,Authorization Delay Notice,35
FY2021,Monterey,Timely Access Notice,0
FY2021,Monterey,Financial Liability Notice,0
FY2021,Monterey,Grievance and Appeal Timely Resolution Notice,1
FY2021,Monterey,All,1758
FY2021,Napa,Denial Notice,0
FY2021,Napa,Payment Denial Notice,0
FY2021,Napa,Delivery System Notice,182
FY2021,Napa,Modification Notice,0
FY2021,Napa,Termination Notice,0
FY2021,Napa,Authorization Delay Notice,0
FY2021,Napa,Timely Access Notice,39
FY2021,Napa,Financial Liability Notice,0
FY2021,Napa,Grievance and Appeal Timely Resolution Notice,0
FY2021,Napa,All,221
FY2021,Nevada,Denial Notice,2
FY2021,Nevada,Payment Denial Notice,1
FY2021,Nevada,Delivery System Notice,54
FY2021,Nevada,Modification Notice,0
FY2021,Nevada,Termination Notice,6
FY2021,Nevada,Authorization Delay Notice,0
FY2021,Nevada,Timely Access Notice,0
FY2021,Nevada,Financial Liability Notice,0
FY2021,Nevada,Grievance and Appeal Timely Resolution Notice,0
FY2021,Nevada,All,63
FY2021,Orange,Denial Notice,0
FY2021,Orange,Payment Denial Notice,141
FY2021,Orange,Delivery System Notice,1127
FY2021,Orange,Modification Notice,9
FY2021,Orange,Termination Notice,6431
FY2021,Orange,Authorization Delay Notice,0
FY2021,Orange,Timely Access Notice,37
FY2021,Orange,Financial Liability Notice,2
FY2021,Orange,Grievance and Appeal Timely Resolution Notice,0
FY2021,Orange,All,7747
FY2021,Placer-Sierra,Denial Notice,16
FY2021,Placer-Sierra,Payment Denial Notice,79
FY2021,Placer-Sierra,Delivery System Notice,0
FY2021,Placer-Sierra,Modification Notice,10
FY2021,Placer-Sierra,Termination Notice,260
FY2021,Placer-Sierra,Authorization Delay Notice,0
FY2021,Placer-Sierra,Timely Access Notice,0
FY2021,Placer-Sierra,Financial Liability Notice,0
FY2021,Placer-Sierra,Grievance and Appeal Timely Resolution Notice,0
FY2021,Placer-Sierra,All,365
FY2021,Plumas,Denial Notice,122
FY2021,Plumas,Payment Denial Notice,6
FY2021,Plumas,Delivery System Notice,14
FY2021,Plumas,Modification Notice,0
FY2021,Plumas,Termination Notice,165
FY2021,Plumas,Authorization Delay Notice,0
FY2021,Plumas,Timely Access Notice,0
FY2021,Plumas,Financial Liability Notice,0
FY2021,Plumas,Grievance and Appeal Timely Resolution Notice,18
FY2021,Plumas,All,325
FY2021,Riverside,Denial Notice,31
FY2021,Riverside,Payment Denial Notice,0
FY2021,Riverside,Delivery System Notice,2
FY2021,Riverside,Modification Notice,54
FY2021,Riverside,Termination Notice,7
FY2021,Riverside,Authorization Delay Notice,0
FY2021,Riverside,Timely Access Notice,99
FY2021,Riverside,Financial Liability Notice,1
FY2021,Riverside,Grievance and Appeal Timely Resolution Notice,0
FY2021,Riverside,All,194
FY2021,Sacramento,Denial Notice,5350
FY2021,Sacramento,Payment Denial Notice,639
FY2021,Sacramento,Delivery System Notice,703
FY2021,Sacramento,Modification Notice,0
FY2021,Sacramento,Termination Notice,62
FY2021,Sacramento,Authorization Delay Notice,0
FY2021,Sacramento,Timely Access Notice,2
FY2021,Sacramento,Financial Liability Notice,0
FY2021,Sacramento,Grievance and Appeal Timely Resolution Notice,2
FY2021,Sacramento,All,6758
FY2021,San Benito,Denial Notice,49
FY2021,San Benito,Payment Denial Notice,2
FY2021,San Benito,Delivery System Notice,91
FY2021,San Benito,Modification Notice,156
FY2021,San Benito,Termination Notice,468
FY2021,San Benito,Authorization Delay Notice,0
FY2021,San Benito,Timely Access Notice,1
FY2021,San Benito,Financial Liability Notice,0
FY2021,San Benito,Grievance and Appeal Timely Resolution Notice,1
FY2021,San Benito,All,768
FY2021,San Bernardino,Denial Notice,17
FY2021,San Bernardino,Payment Denial Notice,1390
FY2021,San Bernardino,Delivery System Notice,510
FY2021,San Bernardino,Modification Notice,1
FY2021,San Bernardino,Termination Notice,1488
FY2021,San Bernardino,Authorization Delay Notice,0
FY2021,San Bernardino,Timely Access Notice,537
FY2021,San Bernardino,Financial Liability Notice,0
FY2021,San Bernardino,Grievance and Appeal Timely Resolution Notice,0
FY2021,San Bernardino,All,3943
FY2021,San Diego,Denial Notice,1025
FY2021,San Diego,Payment Denial Notice,673
FY2021,San Diego,Delivery System Notice,114
FY2021,San Diego,Modification Notice,51
FY2021,San Diego,Termination Notice,3692
FY2021,San Diego,Authorization Delay Notice,96
FY2021,San Diego,Timely Access Notice,1162
FY2021,San Diego,Financial Liability Notice,0
FY2021,San Diego,Grievance and Appeal Timely Resolution Notice,127
FY2021,San Diego,All,6940
FY2021,San Francisco,Denial Notice,16
FY2021,San Francisco,Payment Denial Notice,70
FY2021,San Francisco,Delivery System Notice,68
FY2021,San Francisco,Modification Notice,1
FY2021,San Francisco,Termination Notice,39
FY2021,San Francisco,Authorization Delay Notice,2
FY2021,San Francisco,Timely Access Notice,0
FY2021,San Francisco,Financial Liability Notice,1
FY2021,San Francisco,Grievance and Appeal Timely Resolution Notice,0
FY2021,San Francisco,All,197
FY2021,San Joaquin,Denial Notice,14
FY2021,San Joaquin,Payment Denial Notice,2
FY2021,San Joaquin,Delivery System Notice,243
FY2021,San Joaquin,Modification Notice,0
FY2021,San Joaquin,Termination Notice,61
FY2021,San Joaquin,Authorization Delay Notice,0
FY2021,San Joaquin,Timely Access Notice,178
FY2021,San Joaquin,Financial Liability Notice,0
FY2021,San Joaquin,Grievance and Appeal Timely Resolution Notice,0
FY2021,San Joaquin,All,498
FY2021,San Luis Obispo,Denial Notice,55
FY2021,San Luis Obispo,Payment Denial Notice,192
FY2021,San Luis Obispo,Delivery System Notice,208
FY2021,San Luis Obispo,Modification Notice,2
FY2021,San Luis Obispo,Termination Notice,725
FY2021,San Luis Obispo,Authorization Delay Notice,10
FY2021,San Luis Obispo,Timely Access Notice,240
FY2021,San Luis Obispo,Financial Liability Notice,0
FY2021,San Luis Obispo,Grievance and Appeal Timely Resolution Notice,4
FY2021,San Luis Obispo,All,1436
FY2021,San Mateo,Denial Notice,25
FY2021,San Mateo,Payment Denial Notice,4
FY2021,San Mateo,Delivery System Notice,0
FY2021,San Mateo,Modification Notice,5
FY2021,San Mateo,Termination Notice,23
FY2021,San Mateo,Authorization Delay Notice,9
FY2021,San Mateo,Timely Access Notice,1
FY2021,San Mateo,Financial Liability Notice,0
FY2021,San Mateo,Grievance and Appeal Timely Resolution Notice,0
FY2021,San Mateo,All,67
FY2021,Santa Barbara,Denial Notice,226
FY2021,Santa Barbara,Payment Denial Notice,372
FY2021,Santa Barbara,Delivery System Notice,133
FY2021,Santa Barbara,Modification Notice,0
FY2021,Santa Barbara,Termination Notice,464
FY2021,Santa Barbara,Authorization Delay Notice,0
FY2021,Santa Barbara,Timely Access Notice,0
FY2021,Santa Barbara,Financial Liability Notice,0
FY2021,Santa Barbara,Grievance and Appeal Timely Resolution Notice,0
FY2021,Santa Barbara,All,1195
FY2021,Santa Clara,Denial Notice,5
FY2021,Santa Clara,Payment Denial Notice,242
FY2021,Santa Clara,Delivery System Notice,4
FY2021,Santa Clara,Modification Notice,7
FY2021,Santa Clara,Termination Notice,21
FY2021,Santa Clara,Authorization Delay Notice,0
FY2021,Santa Clara,Timely Access Notice,179
FY2021,Santa Clara,Financial Liability Notice,0
FY2021,Santa Clara,Grievance and Appeal Timely Resolution Notice,0
FY2021,Santa Clara,All,458
FY2021,Santa Cruz,Denial Notice,10
FY2021,Santa Cruz,Payment Denial Notice,64
FY2021,Santa Cruz,Delivery System Notice,30
FY2021,Santa Cruz,Modification Notice,1
FY2021,Santa Cruz,Termination Notice,494
FY2021,Santa Cruz,Authorization Delay Notice,0
FY2021,Santa Cruz,Timely Access Notice,112
FY2021,Santa Cruz,Financial Liability Notice,0
FY2021,Santa Cruz,Grievance and Appeal Timely Resolution Notice,0
FY2021,Santa Cruz,All,711
FY2021,Shasta,Denial Notice,1
FY2021,Shasta,Payment Denial Notice,83
FY2021,Shasta,Delivery System Notice,214
FY2021,Shasta,Modification Notice,0
FY2021,Shasta,Termination Notice,282
FY2021,Shasta,Authorization Delay Notice,0
FY2021,Shasta,Timely Access Notice,0
FY2021,Shasta,Financial Liability Notice,0
FY2021,Shasta,Grievance and Appeal Timely Resolution Notice,0
FY2021,Shasta,All,580
FY2021,Siskiyou,Denial Notice,0
FY2021,Siskiyou,Payment Denial Notice,10
FY2021,Siskiyou,Delivery System Notice,120
FY2021,Siskiyou,Modification Notice,6
FY2021,Siskiyou,Termination Notice,27
FY2021,Siskiyou,Authorization Delay Notice,0
FY2021,Siskiyou,Timely Access Notice,60
FY2021,Siskiyou,Financial Liability Notice,0
FY2021,Siskiyou,Grievance and Appeal Timely Resolution Notice,0
FY2021,Siskiyou,All,223
FY2021,Solano,Denial Notice,88
FY2021,Solano,Payment Denial Notice,44
FY2021,Solano,Delivery System Notice,42
FY2021,Solano,Modification Notice,1
FY2021,Solano,Termination Notice,859
FY2021,Solano,Authorization Delay Notice,0
FY2021,Solano,Timely Access Notice,69
FY2021,Solano,Financial Liability Notice,0
FY2021,Solano,Grievance and Appeal Timely Resolution Notice,0
FY2021,Solano,All,1103
FY2021,Sonoma,Denial Notice,106
FY2021,Sonoma,Payment Denial Notice,17
FY2021,Sonoma,Delivery System Notice,31
FY2021,Sonoma,Modification Notice,8
FY2021,Sonoma,Termination Notice,4
FY2021,Sonoma,Authorization Delay Notice,42
FY2021,Sonoma,Timely Access Notice,181
FY2021,Sonoma,Financial Liability Notice,1
FY2021,Sonoma,Grievance and Appeal Timely Resolution Notice,1
FY2021,Sonoma,All,391
FY2021,Stanislaus,Denial Notice,43
FY2021,Stanislaus,Payment Denial Notice,1239
FY2021,Stanislaus,Delivery System Notice,668
FY2021,Stanislaus,Modification Notice,1
FY2021,Stanislaus,Termination Notice,422
FY2021,Stanislaus,Authorization Delay Notice,333
FY2021,Stanislaus,Timely Access Notice,73
FY2021,Stanislaus,Financial Liability Notice,0
FY2021,Stanislaus,Grievance and Appeal Timely Resolution Notice,0
FY2021,Stanislaus,All,2779
FY2021,Sutter-Yuba,Denial Notice,11
FY2021,Sutter-Yuba,Payment Denial Notice,67
FY2021,Sutter-Yuba,Delivery System Notice,449
FY2021,Sutter-Yuba,Modification Notice,0
FY2021,Sutter-Yuba,Termination Notice,485
FY2021,Sutter-Yuba,Authorization Delay Notice,0
FY2021,Sutter-Yuba,Timely Access Notice,511
FY2021,Sutter-Yuba,Financial Liability Notice,0
FY2021,Sutter-Yuba,Grievance and Appeal Timely Resolution Notice,0
FY2021,Sutter-Yuba,All,1523
FY2021,Tehama,Denial Notice,50
FY2021,Tehama,Payment Denial Notice,0
FY2021,Tehama,Delivery System Notice,7
FY2021,Tehama,Modification Notice,0
FY2021,Tehama,Termination Notice,0
FY2021,Tehama,Authorization Delay Notice,1
FY2021,Tehama,Timely Access Notice,4
FY2021,Tehama,Financial Liability Notice,2
FY2021,Tehama,Grievance and Appeal Timely Resolution Notice,0
FY2021,Tehama,All,64
FY2021,Trinity,Denial Notice,33
FY2021,Trinity,Payment Denial Notice,0
FY2021,Trinity,Delivery System Notice,0
FY2021,Trinity,Modification Notice,0
FY2021,Trinity,Termination Notice,110
FY2021,Trinity,Authorization Delay Notice,0
FY2021,Trinity,Timely Access Notice,46
FY2021,Trinity,Financial Liability Notice,0
FY2021,Trinity,Grievance and Appeal Timely Resolution Notice,0
FY2021,Trinity,All,189
FY2021,Tulare,Denial Notice,109
FY2021,Tulare,Payment Denial Notice,0
FY2021,Tulare,Delivery System Notice,122
FY2021,Tulare,Modification Notice,0
FY2021,Tulare,Termination Notice,530
FY2021,Tulare,Authorization Delay Notice,0
FY2021,Tulare,Timely Access Notice,33
FY2021,Tulare,Financial Liability Notice,0
FY2021,Tulare,Grievance and Appeal Timely Resolution Notice,0
FY2021,Tulare,All,794
FY2021,Tuolumne,Denial Notice,4
FY2021,Tuolumne,Payment Denial Notice,8
FY2021,Tuolumne,Delivery System Notice,53
FY2021,Tuolumne,Modification Notice,0
FY2021,Tuolumne,Termination Notice,20
FY2021,Tuolumne,Authorization Delay Notice,0
FY2021,Tuolumne,Timely Access Notice,41
FY2021,Tuolumne,Financial Liability Notice,0
FY2021,Tuolumne,Grievance and Appeal Timely Resolution Notice,13
FY2021,Tuolumne,All,139
FY2021,Ventura,Denial Notice,107
FY2021,Ventura,Payment Denial Notice,180
FY2021,Ventura,Delivery System Notice,389
FY2021,Ventura,Modification Notice,1
FY2021,Ventura,Termination Notice,1190
FY2021,Ventura,Authorization Delay Notice,2
FY2021,Ventura,Timely Access Notice,366
FY2021,Ventura,Financial Liability Notice,0
FY2021,Ventura,Grievance and Appeal Timely Resolution Notice,1
FY2021,Ventura,All,2236
FY2021,Yolo,Denial Notice,4
FY2021,Yolo,Payment Denial Notice,36
FY2021,Yolo,Delivery System Notice,132
FY2021,Yolo,Modification Notice,0
FY2021,Yolo,Termination Notice,22
FY2021,Yolo,Authorization Delay Notice,0
FY2021,Yolo,Timely Access Notice,2
