Report Year,Geography,Notice of Adverse Benefit Determination (NOABD) Category,Notice of Adverse Benefit Determination (NOABD) Issued
FY2021,Yolo,Financial Liability Notice,0
FY2021,Yolo,Grievance and Appeal Timely Resolution Notice,0
FY2021,Yolo,All,196
FY1920,State,Denial Notice,5202
FY1920,State,Payment Denial Notice,10691
FY1920,State,Delivery System Notice,12161
FY1920,State,Modification Notice,564
FY1920,State,Termination Notice,17707
FY1920,State,Authorization Delay Notice,614
FY1920,State,Timely Access Notice,10772
FY1920,State,Financial Liability Notice,5
FY1920,State,Grievance and Appeal Timely Resolution Notice,57
FY1920,State,All,57773
FY1920,Alameda,Denial Notice,70
FY1920,Alameda,Payment Denial Notice,1246
FY1920,Alameda,Delivery System Notice,544
FY1920,Alameda,Modification Notice,3
FY1920,Alameda,Termination Notice,481
FY1920,Alameda,Authorization Delay Notice,25
FY1920,Alameda,Timely Access Notice,161
FY1920,Alameda,Financial Liability Notice,0
FY1920,Alameda,Grievance and Appeal Timely Resolution Notice,0
FY1920,Alameda,All,2530
FY1920,Alpine,Denial Notice,2
FY1920,Alpine,Payment Denial Notice,0
FY1920,Alpine,Delivery System Notice,2
FY1920,Alpine,Modification Notice,0
FY1920,Alpine,Termination Notice,3
FY1920,Alpine,Authorization Delay Notice,0
FY1920,Alpine,Timely Access Notice,0
FY1920,Alpine,Financial Liability Notice,0
FY1920,Alpine,Grievance and Appeal Timely Resolution Notice,0
FY1920,Alpine,All,7
FY1920,Amador,Denial Notice,53
FY1920,Amador,Payment Denial Notice,0
FY1920,Amador,Delivery System Notice,0
FY1920,Amador,Modification Notice,0
FY1920,Amador,Termination Notice,0
FY1920,Amador,Authorization Delay Notice,0
FY1920,Amador,Timely Access Notice,29
FY1920,Amador,Financial Liability Notice,0
FY1920,Amador,Grievance and Appeal Timely Resolution Notice,2
FY1920,Amador,All,84
FY1920,Butte,Denial Notice,0
FY1920,Butte,Payment Denial Notice,9
FY1920,Butte,Delivery System Notice,344
FY1920,Butte,Modification Notice,0
FY1920,Butte,Termination Notice,0
FY1920,Butte,Authorization Delay Notice,0
FY1920,Butte,Timely Access Notice,10
FY1920,Butte,Financial Liability Notice,0
FY1920,Butte,Grievance and Appeal Timely Resolution Notice,0
FY1920,Butte,All,363
FY1920,Calaveras,Denial Notice,2
FY1920,Calaveras,Payment Denial Notice,0
FY1920,Calaveras,Delivery System Notice,47
FY1920,Calaveras,Modification Notice,0
FY1920,Calaveras,Termination Notice,77
FY1920,Calaveras,Authorization Delay Notice,0
FY1920,Calaveras,Timely Access Notice,0
FY1920,Calaveras,Financial Liability Notice,0
FY1920,Calaveras,Grievance and Appeal Timely Resolution Notice,0
FY1920,Calaveras,All,126
FY1920,Colusa,Denial Notice,11
FY1920,Colusa,Payment Denial Notice,0
FY1920,Colusa,Delivery System Notice,7
FY1920,Colusa,Modification Notice,15
FY1920,Colusa,Termination Notice,1
FY1920,Colusa,Authorization Delay Notice,0
FY1920,Colusa,Timely Access Notice,61
FY1920,Colusa,Financial Liability Notice,0
FY1920,Colusa,Grievance and Appeal Timely Resolution Notice,0
FY1920,Colusa,All,95
FY1920,Contra Costa,Denial Notice,3
FY1920,Contra Costa,Payment Denial Notice,62
FY1920,Contra Costa,Delivery System Notice,1
FY1920,Contra Costa,Modification Notice,0
FY1920,Contra Costa,Termination Notice,1
FY1920,Contra Costa,Authorization Delay Notice,5
FY1920,Contra Costa,Timely Access Notice,46
FY1920,Contra Costa,Financial Liability Notice,0
FY1920,Contra Costa,Grievance and Appeal Timely Resolution Notice,1
FY1920,Contra Costa,All,119
FY1920,Del Norte,Denial Notice,24
FY1920,Del Norte,Payment Denial Notice,11
FY1920,Del Norte,Delivery System Notice,0
FY1920,Del Norte,Modification Notice,0
FY1920,Del Norte,Termination Notice,0
FY1920,Del Norte,Authorization Delay Notice,0
FY1920,Del Norte,Timely Access Notice,0
FY1920,Del Norte,Financial Liability Notice,0
FY1920,Del Norte,Grievance and Appeal Timely Resolution Notice,0
FY1920,Del Norte,All,35
FY1920,El Dorado,Denial Notice,0
FY1920,El Dorado,Payment Denial Notice,3
FY1920,El Dorado,Delivery System Notice,408
FY1920,El Dorado,Modification Notice,0
FY1920,El Dorado,Termination Notice,0
FY1920,El Dorado,Authorization Delay Notice,0
FY1920,El Dorado,Timely Access Notice,0
FY1920,El Dorado,Financial Liability Notice,0
FY1920,El Dorado,Grievance and Appeal Timely Resolution Notice,0
FY1920,El Dorado,All,411
FY1920,Fresno,Denial Notice,682
FY1920,Fresno,Payment Denial Notice,66
FY1920,Fresno,Delivery System Notice,0
FY1920,Fresno,Modification Notice,32
FY1920,Fresno,Termination Notice,0
FY1920,Fresno,Authorization Delay Notice,0
FY1920,Fresno,Timely Access Notice,909
FY1920,Fresno,Financial Liability Notice,0
FY1920,Fresno,Grievance and Appeal Timely Resolution Notice,0
FY1920,Fresno,All,1689
FY1920,Glenn,Denial Notice,49
FY1920,Glenn,Payment Denial Notice,0
FY1920,Glenn,Delivery System Notice,0
FY1920,Glenn,Modification Notice,0
FY1920,Glenn,Termination Notice,0
FY1920,Glenn,Authorization Delay Notice,0
FY1920,Glenn,Timely Access Notice,4
FY1920,Glenn,Financial Liability Notice,0
FY1920,Glenn,Grievance and Appeal Timely Resolution Notice,0
FY1920,Glenn,All,53
FY1920,Humboldt,Denial Notice,5
FY1920,Humboldt,Payment Denial Notice,214
FY1920,Humboldt,Delivery System Notice,3
FY1920,Humboldt,Modification Notice,0
FY1920,Humboldt,Termination Notice,86
FY1920,Humboldt,Authorization Delay Notice,0
FY1920,Humboldt,Timely Access Notice,36
FY1920,Humboldt,Financial Liability Notice,0
FY1920,Humboldt,Grievance and Appeal Timely Resolution Notice,14
FY1920,Humboldt,All,358
FY1920,Imperial,Denial Notice,0
FY1920,Imperial,Payment Denial Notice,2
FY1920,Imperial,Delivery System Notice,568
FY1920,Imperial,Modification Notice,0
FY1920,Imperial,Termination Notice,3743
FY1920,Imperial,Authorization Delay Notice,1
FY1920,Imperial,Timely Access Notice,5
FY1920,Imperial,Financial Liability Notice,0
FY1920,Imperial,Grievance and Appeal Timely Resolution Notice,1
FY1920,Imperial,All,4320
FY1920,Inyo,Denial Notice,16
FY1920,Inyo,Payment Denial Notice,0
FY1920,Inyo,Delivery System Notice,0
FY1920,Inyo,Modification Notice,0
FY1920,Inyo,Termination Notice,0
FY1920,Inyo,Authorization Delay Notice,0
FY1920,Inyo,Timely Access Notice,0
FY1920,Inyo,Financial Liability Notice,0
FY1920,Inyo,Grievance and Appeal Timely Resolution Notice,0
FY1920,Inyo,All,16
FY1920,Kern,Denial Notice,152
FY1920,Kern,Payment Denial Notice,146
FY1920,Kern,Delivery System Notice,568
FY1920,Kern,Modification Notice,1
FY1920,Kern,Termination Notice,13
FY1920,Kern,Authorization Delay Notice,1
FY1920,Kern,Timely Access Notice,86
FY1920,Kern,Financial Liability Notice,0
FY1920,Kern,Grievance and Appeal Timely Resolution Notice,0
FY1920,Kern,All,967
FY1920,Kings,Denial Notice,312
FY1920,Kings,Payment Denial Notice,0
FY1920,Kings,Delivery System Notice,254
FY1920,Kings,Modification Notice,1
FY1920,Kings,Termination Notice,245
FY1920,Kings,Authorization Delay Notice,0
FY1920,Kings,Timely Access Notice,0
FY1920,Kings,Financial Liability Notice,0
FY1920,Kings,Grievance and Appeal Timely Resolution Notice,0
FY1920,Kings,All,812
FY1920,Lake,Denial Notice,0
FY1920,Lake,Payment Denial Notice,25
FY1920,Lake,Delivery System Notice,0
FY1920,Lake,Modification Notice,0
FY1920,Lake,Termination Notice,0
FY1920,Lake,Authorization Delay Notice,0
FY1920,Lake,Timely Access Notice,28
FY1920,Lake,Financial Liability Notice,0
FY1920,Lake,Grievance and Appeal Timely Resolution Notice,0
FY1920,Lake,All,53
FY1920,Lassen,Denial Notice,0
FY1920,Lassen,Payment Denial Notice,0
FY1920,Lassen,Delivery System Notice,68
FY1920,Lassen,Modification Notice,0
FY1920,Lassen,Termination Notice,0
FY1920,Lassen,Authorization Delay Notice,0
FY1920,Lassen,Timely Access Notice,0
FY1920,Lassen,Financial Liability Notice,0
FY1920,Lassen,Grievance and Appeal Timely Resolution Notice,0
FY1920,Lassen,All,68
FY1920,Los Angeles,Denial Notice,0
FY1920,Los Angeles,Payment Denial Notice,1404
FY1920,Los Angeles,Delivery System Notice,1932
FY1920,Los Angeles,Modification Notice,0
FY1920,Los Angeles,Termination Notice,0
FY1920,Los Angeles,Authorization Delay Notice,0
FY1920,Los Angeles,Timely Access Notice,4224
FY1920,Los Angeles,Financial Liability Notice,0
FY1920,Los Angeles,Grievance and Appeal Timely Resolution Notice,0
FY1920,Los Angeles,All,7560
FY1920,Madera,Denial Notice,0
FY1920,Madera,Payment Denial Notice,34
FY1920,Madera,Delivery System Notice,65
FY1920,Madera,Modification Notice,0
FY1920,Madera,Termination Notice,130
FY1920,Madera,Authorization Delay Notice,0
FY1920,Madera,Timely Access Notice,12
FY1920,Madera,Financial Liability Notice,0
FY1920,Madera,Grievance and Appeal Timely Resolution Notice,2
FY1920,Madera,All,243
FY1920,Marin,Denial Notice,118
FY1920,Marin,Payment Denial Notice,60
FY1920,Marin,Delivery System Notice,0
FY1920,Marin,Modification Notice,0
FY1920,Marin,Termination Notice,27
FY1920,Marin,Authorization Delay Notice,26
FY1920,Marin,Timely Access Notice,0
FY1920,Marin,Financial Liability Notice,2
FY1920,Marin,Grievance and Appeal Timely Resolution Notice,0
FY1920,Marin,All,233
FY1920,Mariposa,Denial Notice,0
FY1920,Mariposa,Payment Denial Notice,2
FY1920,Mariposa,Delivery System Notice,29
FY1920,Mariposa,Modification Notice,2
FY1920,Mariposa,Termination Notice,636
FY1920,Mariposa,Authorization Delay Notice,1
FY1920,Mariposa,Timely Access Notice,87
FY1920,Mariposa,Financial Liability Notice,0
FY1920,Mariposa,Grievance and Appeal Timely Resolution Notice,2
FY1920,Mariposa,All,759
FY1920,Mendocino,Denial Notice,0
FY1920,Mendocino,Payment Denial Notice,45
FY1920,Mendocino,Delivery System Notice,78
FY1920,Mendocino,Modification Notice,0
FY1920,Mendocino,Termination Notice,0
FY1920,Mendocino,Authorization Delay Notice,0
FY1920,Mendocino,Timely Access Notice,0
FY1920,Mendocino,Financial Liability Notice,0
FY1920,Mendocino,Grievance and Appeal Timely Resolution Notice,0
FY1920,Mendocino,All,123
FY1920,Merced,Denial Notice,1
FY1920,Merced,Payment Denial Notice,288
FY1920,Merced,Delivery System Notice,227
FY1920,Merced,Modification Notice,2
FY1920,Merced,Termination Notice,1486
FY1920,Merced,Authorization Delay Notice,2
FY1920,Merced,Timely Access Notice,386
FY1920,Merced,Financial Liability Notice,0
FY1920,Merced,Grievance and Appeal Timely Resolution Notice,0
FY1920,Merced,All,2392
FY1920,Modoc,Denial Notice,28
FY1920,Modoc,Payment Denial Notice,0
FY1920,Modoc,Delivery System Notice,0
FY1920,Modoc,Modification Notice,0
FY1920,Modoc,Termination Notice,0
FY1920,Modoc,Authorization Delay Notice,0
FY1920,Modoc,Timely Access Notice,0
FY1920,Modoc,Financial Liability Notice,0
FY1920,Modoc,Grievance and Appeal Timely Resolution Notice,0
FY1920,Modoc,All,28
FY1920,Mono,Denial Notice,0
FY1920,Mono,Payment Denial Notice,0
FY1920,Mono,Delivery System Notice,0
FY1920,Mono,Modification Notice,0
FY1920,Mono,Termination Notice,0
FY1920,Mono,Authorization Delay Notice,0
FY1920,Mono,Timely Access Notice,19
FY1920,Mono,Financial Liability Notice,0
FY1920,Mono,Grievance and Appeal Timely Resolution Notice,0
FY1920,Mono,All,19
FY1920,Monterey,Denial Notice,160
FY1920,Monterey,Payment Denial Notice,297
FY1920,Monterey,Delivery System Notice,774
FY1920,Monterey,Modification Notice,5
FY1920,Monterey,Termination Notice,38
FY1920,Monterey,Authorization Delay Notice,0
FY1920,Monterey,Timely Access Notice,0
FY1920,Monterey,Financial Liability Notice,0
FY1920,Monterey,Grievance and Appeal Timely Resolution Notice,0
FY1920,Monterey,All,1274
FY1920,Napa,Denial Notice,0
FY1920,Napa,Payment Denial Notice,2
FY1920,Napa,Delivery System Notice,136
FY1920,Napa,Modification Notice,0
FY1920,Napa,Termination Notice,0
FY1920,Napa,Authorization Delay Notice,0
FY1920,Napa,Timely Access Notice,0
FY1920,Napa,Financial Liability Notice,0
FY1920,Napa,Grievance and Appeal Timely Resolution Notice,3
FY1920,Napa,All,141
FY1920,Nevada,Denial Notice,20
FY1920,Nevada,Payment Denial Notice,3
FY1920,Nevada,Delivery System Notice,282
FY1920,Nevada,Modification Notice,0
FY1920,Nevada,Termination Notice,5
FY1920,Nevada,Authorization Delay Notice,0
FY1920,Nevada,Timely Access Notice,7
FY1920,Nevada,Financial Liability Notice,0
FY1920,Nevada,Grievance and Appeal Timely Resolution Notice,0
FY1920,Nevada,All,317
FY1920,Orange,Denial Notice,0
FY1920,Orange,Payment Denial Notice,161
FY1920,Orange,Delivery System Notice,1036
FY1920,Orange,Modification Notice,6
FY1920,Orange,Termination Notice,4125
FY1920,Orange,Authorization Delay Notice,0
FY1920,Orange,Timely Access Notice,57
FY1920,Orange,Financial Liability Notice,0
FY1920,Orange,Grievance and Appeal Timely Resolution Notice,1
FY1920,Orange,All,5386
FY1920,Placer-Sierra,Denial Notice,41
FY1920,Placer-Sierra,Payment Denial Notice,0
FY1920,Placer-Sierra,Delivery System Notice,5
FY1920,Placer-Sierra,Modification Notice,16
FY1920,Placer-Sierra,Termination Notice,350
FY1920,Placer-Sierra,Authorization Delay Notice,0
FY1920,Placer-Sierra,Timely Access Notice,0
FY1920,Placer-Sierra,Financial Liability Notice,0
FY1920,Placer-Sierra,Grievance and Appeal Timely Resolution Notice,0
FY1920,Placer-Sierra,All,412
FY1920,Plumas,Denial Notice,17
FY1920,Plumas,Payment Denial Notice,3
FY1920,Plumas,Delivery System Notice,36
FY1920,Plumas,Modification Notice,0
FY1920,Plumas,Termination Notice,18
FY1920,Plumas,Authorization Delay Notice,0
FY1920,Plumas,Timely Access Notice,0
FY1920,Plumas,Financial Liability Notice,0
FY1920,Plumas,Grievance and Appeal Timely Resolution Notice,0
FY1920,Plumas,All,74
FY1920,Riverside,Denial Notice,53
FY1920,Riverside,Payment Denial Notice,1
FY1920,Riverside,Delivery System Notice,0
FY1920,Riverside,Modification Notice,124
FY1920,Riverside,Termination Notice,5
FY1920,Riverside,Authorization Delay Notice,0
FY1920,Riverside,Timely Access Notice,183
FY1920,Riverside,Financial Liability Notice,0
FY1920,Riverside,Grievance and Appeal Timely Resolution Notice,0
FY1920,Riverside,All,366
FY1920,Sacramento,Denial Notice,1863
FY1920,Sacramento,Payment Denial Notice,716
FY1920,Sacramento,Delivery System Notice,0
FY1920,Sacramento,Modification Notice,214
FY1920,Sacramento,Termination Notice,0
FY1920,Sacramento,Authorization Delay Notice,0
FY1920,Sacramento,Timely Access Notice,0
FY1920,Sacramento,Financial Liability Notice,0
FY1920,Sacramento,Grievance and Appeal Timely Resolution Notice,3
FY1920,Sacramento,All,2796
FY1920,San Benito,Denial Notice,152
FY1920,San Benito,Payment Denial Notice,1
FY1920,San Benito,Delivery System Notice,0
FY1920,San Benito,Modification Notice,1
FY1920,San Benito,Termination Notice,464
FY1920,San Benito,Authorization Delay Notice,0
FY1920,San Benito,Timely Access Notice,0
FY1920,San Benito,Financial Liability Notice,0
FY1920,San Benito,Grievance and Appeal Timely Resolution Notice,0
FY1920,San Benito,All,618
FY1920,San Bernardino,Denial Notice,287
FY1920,San Bernardino,Payment Denial Notice,1843
FY1920,San Bernardino,Delivery System Notice,833
FY1920,San Bernardino,Modification Notice,57
FY1920,San Bernardino,Termination Notice,446
FY1920,San Bernardino,Authorization Delay Notice,156
FY1920,San Bernardino,Timely Access Notice,530
FY1920,San Bernardino,Financial Liability Notice,0
FY1920,San Bernardino,Grievance and Appeal Timely Resolution Notice,0
FY1920,San Bernardino,All,4152
FY1920,San Diego,Denial Notice,212
FY1920,San Diego,Payment Denial Notice,1090
FY1920,San Diego,Delivery System Notice,90
FY1920,San Diego,Modification Notice,0
FY1920,San Diego,Termination Notice,294
FY1920,San Diego,Authorization Delay Notice,1
FY1920,San Diego,Timely Access Notice,180
FY1920,San Diego,Financial Liability Notice,0
FY1920,San Diego,Grievance and Appeal Timely Resolution Notice,0
FY1920,San Diego,All,1867
FY1920,San Francisco,Denial Notice,45
FY1920,San Francisco,Payment Denial Notice,30
FY1920,San Francisco,Delivery System Notice,9
FY1920,San Francisco,Modification Notice,0
FY1920,San Francisco,Termination Notice,53
FY1920,San Francisco,Authorization Delay Notice,0
FY1920,San Francisco,Timely Access Notice,4
FY1920,San Francisco,Financial Liability Notice,0
FY1920,San Francisco,Grievance and Appeal Timely Resolution Notice,0
FY1920,San Francisco,All,141
FY1920,San Joaquin,Denial Notice,12
FY1920,San Joaquin,Payment Denial Notice,344
FY1920,San Joaquin,Delivery System Notice,566
FY1920,San Joaquin,Modification Notice,0
FY1920,San Joaquin,Termination Notice,0
FY1920,San Joaquin,Authorization Delay Notice,0
FY1920,San Joaquin,Timely Access Notice,565
FY1920,San Joaquin,Financial Liability Notice,0
FY1920,San Joaquin,Grievance and Appeal Timely Resolution Notice,0
FY1920,San Joaquin,All,1487
FY1920,San Luis Obispo,Denial Notice,75
FY1920,San Luis Obispo,Payment Denial Notice,155
FY1920,San Luis Obispo,Delivery System Notice,246
FY1920,San Luis Obispo,Modification Notice,0
FY1920,San Luis Obispo,Termination Notice,221
FY1920,San Luis Obispo,Authorization Delay Notice,6
FY1920,San Luis Obispo,Timely Access Notice,205
FY1920,San Luis Obispo,Financial Liability Notice,0
FY1920,San Luis Obispo,Grievance and Appeal Timely Resolution Notice,21
FY1920,San Luis Obispo,All,929
FY1920,San Mateo,Denial Notice,12
FY1920,San Mateo,Payment Denial Notice,19
FY1920,San Mateo,Delivery System Notice,0
FY1920,San Mateo,Modification Notice,19
FY1920,San Mateo,Termination Notice,165
FY1920,San Mateo,Authorization Delay Notice,1
FY1920,San Mateo,Timely Access Notice,0
FY1920,San Mateo,Financial Liability Notice,0
FY1920,San Mateo,Grievance and Appeal Timely Resolution Notice,0
FY1920,San Mateo,All,216
FY1920,Santa Barbara,Denial Notice,129
FY1920,Santa Barbara,Payment Denial Notice,344
FY1920,Santa Barbara,Delivery System Notice,202
FY1920,Santa Barbara,Modification Notice,1
FY1920,Santa Barbara,Termination Notice,38
FY1920,Santa Barbara,Authorization Delay Notice,0
FY1920,Santa Barbara,Timely Access Notice,23
FY1920,Santa Barbara,Financial Liability Notice,1
FY1920,Santa Barbara,Grievance and Appeal Timely Resolution Notice,0
FY1920,Santa Barbara,All,738
FY1920,Santa Clara,Denial Notice,1
FY1920,Santa Clara,Payment Denial Notice,243
FY1920,Santa Clara,Delivery System Notice,0
FY1920,Santa Clara,Modification Notice,0
FY1920,Santa Clara,Termination Notice,0
FY1920,Santa Clara,Authorization Delay Notice,0
FY1920,Santa Clara,Timely Access Notice,1408
FY1920,Santa Clara,Financial Liability Notice,0
FY1920,Santa Clara,Grievance and Appeal Timely Resolution Notice,0
FY1920,Santa Clara,All,1652
FY1920,Santa Cruz,Denial Notice,6
FY1920,Santa Cruz,Payment Denial Notice,58
FY1920,Santa Cruz,Delivery System Notice,46
FY1920,Santa Cruz,Modification Notice,5
FY1920,Santa Cruz,Termination Notice,315
FY1920,Santa Cruz,Authorization Delay Notice,0
FY1920,Santa Cruz,Timely Access Notice,127
FY1920,Santa Cruz,Financial Liability Notice,0
FY1920,Santa Cruz,Grievance and Appeal Timely Resolution Notice,0
FY1920,Santa Cruz,All,557
FY1920,Shasta,Denial Notice,0
FY1920,Shasta,Payment Denial Notice,26
FY1920,Shasta,Delivery System Notice,90
FY1920,Shasta,Modification Notice,2
FY1920,Shasta,Termination Notice,155
FY1920,Shasta,Authorization Delay Notice,0
FY1920,Shasta,Timely Access Notice,0
FY1920,Shasta,Financial Liability Notice,0
FY1920,Shasta,Grievance and Appeal Timely Resolution Notice,0
FY1920,Shasta,All,273
FY1920,Siskiyou,Denial Notice,26
FY1920,Siskiyou,Payment Denial Notice,24
FY1920,Siskiyou,Delivery System Notice,84
FY1920,Siskiyou,Modification Notice,22
FY1920,Siskiyou,Termination Notice,29
FY1920,Siskiyou,Authorization Delay Notice,1
FY1920,Siskiyou,Timely Access Notice,41
FY1920,Siskiyou,Financial Liability Notice,0
FY1920,Siskiyou,Grievance and Appeal Timely Resolution Notice,0
FY1920,Siskiyou,All,227
FY1920,Solano,Denial Notice,84
FY1920,Solano,Payment Denial Notice,74
FY1920,Solano,Delivery System Notice,149
FY1920,Solano,Modification Notice,4
FY1920,Solano,Termination Notice,1092
FY1920,Solano,Authorization Delay Notice,0
FY1920,Solano,Timely Access Notice,36
FY1920,Solano,Financial Liability Notice,0
FY1920,Solano,Grievance and Appeal Timely Resolution Notice,0
FY1920,Solano,All,1439
FY1920,Sonoma,Denial Notice,56
FY1920,Sonoma,Payment Denial Notice,164
FY1920,Sonoma,Delivery System Notice,34
FY1920,Sonoma,Modification Notice,2
FY1920,Sonoma,Termination Notice,2
FY1920,Sonoma,Authorization Delay Notice,98
FY1920,Sonoma,Timely Access Notice,83
FY1920,Sonoma,Financial Liability Notice,0
FY1920,Sonoma,Grievance and Appeal Timely Resolution Notice,1
FY1920,Sonoma,All,440
FY1920,Stanislaus,Denial Notice,101
FY1920,Stanislaus,Payment Denial Notice,1179
FY1920,Stanislaus,Delivery System Notice,532
FY1920,Stanislaus,Modification Notice,3
FY1920,Stanislaus,Termination Notice,310
FY1920,Stanislaus,Authorization Delay Notice,289
FY1920,Stanislaus,Timely Access Notice,138
FY1920,Stanislaus,Financial Liability Notice,0
FY1920,Stanislaus,Grievance and Appeal Timely Resolution Notice,0
FY1920,Stanislaus,All,2552
FY1920,Sutter-Yuba,Denial Notice,8
FY1920,Sutter-Yuba,Payment Denial Notice,59
FY1920,Sutter-Yuba,Delivery System Notice,539
FY1920,Sutter-Yuba,Modification Notice,0
FY1920,Sutter-Yuba,Termination Notice,737
FY1920,Sutter-Yuba,Authorization Delay Notice,1
FY1920,Sutter-Yuba,Timely Access Notice,554
FY1920,Sutter-Yuba,Financial Liability Notice,0
FY1920,Sutter-Yuba,Grievance and Appeal Timely Resolution Notice,5
FY1920,Sutter-Yuba,All,1903
FY1920,Tehama,Denial Notice,85
FY1920,Tehama,Payment Denial Notice,0
FY1920,Tehama,Delivery System Notice,102
FY1920,Tehama,Modification Notice,0
FY1920,Tehama,Termination Notice,2
FY1920,Tehama,Authorization Delay Notice,0
FY1920,Tehama,Timely Access Notice,116
FY1920,Tehama,Financial Liability Notice,2
FY1920,Tehama,Grievance and Appeal Timely Resolution Notice,0
FY1920,Tehama,All,307
FY1920,Trinity,Denial Notice,5
FY1920,Trinity,Payment Denial Notice,0
FY1920,Trinity,Delivery System Notice,0
FY1920,Trinity,Modification Notice,0
FY1920,Trinity,Termination Notice,36
FY1920,Trinity,Authorization Delay Notice,0
FY1920,Trinity,Timely Access Notice,0
FY1920,Trinity,Financial Liability Notice,0
FY1920,Trinity,Grievance and Appeal Timely Resolution Notice,0
FY1920,Trinity,All,41
FY1920,Tulare,Denial Notice,81
FY1920,Tulare,Payment Denial Notice,12
FY1920,Tulare,Delivery System Notice,555
FY1920,Tulare,Modification Notice,0
FY1920,Tulare,Termination Notice,1372
FY1920,Tulare,Authorization Delay Notice,0
FY1920,Tulare,Timely Access Notice,44
FY1920,Tulare,Financial Liability Notice,0
FY1920,Tulare,Grievance and Appeal Timely Resolution Notice,0
FY1920,Tulare,All,2064
FY1920,Tuolumne,Denial Notice,0
FY1920,Tuolumne,Payment Denial Notice,10
FY1920,Tuolumne,Delivery System Notice,44
FY1920,Tuolumne,Modification Notice,0
FY1920,Tuolumne,Termination Notice,9
FY1920,Tuolumne,Authorization Delay Notice,0
FY1920,Tuolumne,Timely Access Notice,117
FY1920,Tuolumne,Financial Liability Notice,0
FY1920,Tuolumne,Grievance and Appeal Timely Resolution Notice,0
FY1920,Tuolumne,All,180
FY1920,Ventura,Denial Notice,143
FY1920,Ventura,Payment Denial Notice,167
FY1920,Ventura,Delivery System Notice,320
FY1920,Ventura,Modification Notice,0
FY1920,Ventura,Termination Notice,494
FY1920,Ventura,Authorization Delay Notice,0
FY1920,Ventura,Timely Access Notice,251
FY1920,Ventura,Financial Liability Notice,0
FY1920,Ventura,Grievance and Appeal Timely Resolution Notice,1
FY1920,Ventura,All,1376
FY1920,Yolo,Denial Notice,0
FY1920,Yolo,Payment Denial Notice,49
FY1920,Yolo,Delivery System Notice,306
FY1920,Yolo,Modification Notice,27
FY1920,Yolo,Termination Notice,3
FY1920,Yolo,Authorization Delay Notice,0
FY1920,Yolo,Timely Access Notice,0
